time,CO,y,CO2,electricity,type,id,eclass,waiting,NOx,fuel,HC,x,route,relative_position,noise,angle,PMx,speed,edge_id,lane_number
0.1,164.78,-1.6,2624.72,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.2,1.13,0.81,36.64,routebottom_0,0.0,55.94,93.93,0.07,0.0,bottom,0
0.2,163.5,-1.6,2631.03,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.1,1.21,1.13,0.81,36.65,routebottom_0,0.01,59.48,93.92,0.07,0.08,bottom,0
0.3,162.24,-1.6,2636.67,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.21,1.13,0.8,36.66,routebottom_0,0.02,59.44,93.89,0.07,0.16,bottom,0
0.4,161.0,-1.6,2641.63,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.21,1.14,0.79,36.69,routebottom_0,0.05,59.4,93.84,0.07,0.23,bottom,0
0.5,159.78,-1.6,2645.91,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.21,1.14,0.79,36.72,routebottom_0,0.08,59.36,93.78,0.06,0.31,bottom,0
0.6,158.57,-1.6,2649.52,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.21,1.14,0.78,36.76,routebottom_0,0.12,59.32,93.71,0.06,0.38,bottom,0
0.7,157.39,-1.6,2652.46,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.2,1.14,0.78,36.81,routebottom_0,0.16,59.27,93.63,0.06,0.46,bottom,0
0.8,156.23,-1.6,2654.75,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.2,1.14,0.77,36.86,routebottom_0,0.21,59.22,93.53,0.06,0.53,bottom,0
0.9,155.08,-1.59,2656.39,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.2,1.14,0.77,36.93,routebottom_0,0.27,59.18,93.41,0.06,0.59,bottom,0
1.0,153.96,-1.59,2657.41,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.2,1.14,0.76,36.99,routebottom_0,0.34,59.13,93.29,0.06,0.66,bottom,0
1.1,152.85,-1.59,2657.82,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.2,1.14,0.76,37.07,routebottom_0,0.41,59.08,93.15,0.06,0.73,bottom,0
1.2,151.77,-1.59,2657.65,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.2,1.14,0.75,37.15,routebottom_0,0.49,59.03,93.0,0.06,0.79,bottom,0
1.3,150.71,-1.59,2656.92,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.2,1.14,0.75,37.24,routebottom_0,0.58,58.98,92.88,0.06,0.85,bottom,0
1.4,149.66,-1.59,2655.66,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.19,1.14,0.74,37.34,routebottom_0,0.67,58.93,92.76,0.06,0.91,bottom,0
1.5,148.64,-1.58,2653.9,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.19,1.14,0.74,37.44,routebottom_0,0.76,58.88,92.63,0.06,0.97,bottom,0
1.6,147.64,-1.58,2651.67,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.19,1.14,0.73,37.54,routebottom_0,0.87,58.83,92.49,0.06,1.03,bottom,0
1.7,146.66,-1.58,2648.99,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.19,1.14,0.73,37.66,routebottom_0,0.98,58.78,92.34,0.06,1.08,bottom,0
1.8,145.7,-1.58,2645.9,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.18,1.14,0.72,37.77,routebottom_0,1.09,58.73,92.19,0.06,1.13,bottom,0
1.9,144.76,-1.57,2642.42,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.18,1.14,0.72,37.9,routebottom_0,1.21,58.68,92.03,0.06,1.19,bottom,0
2.0,143.84,-1.57,2638.59,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.18,1.13,0.72,38.03,routebottom_0,1.33,58.63,91.86,0.06,1.24,bottom,0
2.1,142.94,-1.57,2634.43,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.17,1.13,0.71,38.16,routebottom_0,1.46,58.58,91.68,0.06,1.29,bottom,0
2.2,142.07,-1.56,2629.98,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.17,1.13,0.71,38.3,routebottom_0,1.59,58.54,91.43,0.06,1.33,bottom,0
2.3,141.21,-1.55,2625.27,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.17,1.13,0.7,38.44,routebottom_0,1.73,58.49,91.17,0.06,1.38,bottom,0
2.4,140.38,-1.54,2620.32,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.16,1.13,0.7,38.59,routebottom_0,1.87,58.44,90.9,0.06,1.42,bottom,0
2.5,139.57,-1.53,2615.16,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.16,1.12,0.7,38.74,routebottom_0,2.02,58.4,90.65,0.06,1.47,bottom,0
2.6,138.78,-1.52,2609.82,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.16,1.12,0.69,38.9,routebottom_0,2.17,58.35,90.42,0.06,1.51,bottom,0
2.7,138.01,-1.51,2604.33,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.15,1.12,0.69,39.06,routebottom_0,2.33,58.31,90.19,0.06,1.55,bottom,0
2.8,137.26,-1.5,2598.7,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.15,1.12,0.68,39.23,routebottom_0,2.48,58.26,89.95,0.06,1.59,bottom,0
2.9,136.53,-1.49,2592.96,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.14,1.11,0.68,39.4,routebottom_0,2.65,58.22,89.71,0.06,1.62,bottom,0
3.0,135.82,-1.48,2587.14,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.14,1.11,0.68,39.57,routebottom_0,2.81,58.18,89.46,0.06,1.66,bottom,0
3.1,135.13,-1.46,2581.25,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.14,1.11,0.67,39.74,routebottom_0,2.98,58.14,89.18,0.06,1.69,bottom,0
3.2,134.46,-1.45,2575.32,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.13,1.11,0.67,39.92,routebottom_0,3.15,58.1,88.86,0.06,1.73,bottom,0
3.3,133.82,-1.43,2569.35,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.13,1.1,0.67,40.11,routebottom_0,3.33,58.06,88.53,0.06,1.76,bottom,0
3.4,133.19,-1.41,2563.38,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.13,1.1,0.67,40.29,routebottom_0,3.51,58.02,88.22,0.05,1.79,bottom,0
3.5,132.42,-1.39,2548.47,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.12,1.1,0.66,40.48,routebottom_0,3.69,57.9,87.97,0.05,1.82,bottom,0
3.6,131.7,-1.37,2533.07,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.11,1.09,0.66,40.67,routebottom_0,3.88,57.78,87.72,0.05,1.85,bottom,0
3.7,131.05,-1.35,2518.93,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.1,1.08,0.65,40.87,routebottom_0,4.06,57.67,87.47,0.05,1.87,bottom,0
3.8,130.46,-1.34,2506.01,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.1,1.08,0.65,41.06,routebottom_0,4.25,57.57,87.21,0.05,1.89,bottom,0
3.9,129.93,-1.31,2494.24,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.09,1.07,0.65,41.26,routebottom_0,4.44,57.48,86.93,0.05,1.91,bottom,0
4.0,129.46,-1.29,2483.56,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.08,1.07,0.65,41.46,routebottom_0,4.63,57.41,86.57,0.05,1.92,bottom,0
4.1,129.03,-1.26,2473.91,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.08,1.06,0.64,41.66,routebottom_0,4.83,57.34,86.2,0.05,1.94,bottom,0
4.2,128.65,-1.23,2465.19,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.08,1.06,0.64,41.86,routebottom_0,5.02,57.27,85.9,0.05,1.95,bottom,0
4.3,128.31,-1.2,2457.36,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.07,1.06,0.64,42.06,routebottom_0,5.22,57.22,85.63,0.05,1.96,bottom,0
4.4,128.01,-1.17,2450.32,0.0,idm,idm_0,HBEFA3/PC_G_EU4,0.0,1.07,1.05,0.64,42.26,routebottom_0,5.42,57.17,85.35,0.05,1.97,bottom,0
