Wall time,Step,Value
1593069591.843285,1,-32.061038970947266
1593069600.8478596,2,-20.291528701782227
1593069610.7254467,3,-33.93653869628906
1593069620.6766348,4,-33.59187698364258
1593069630.496293,5,-31.346567153930664
1593069640.4333158,6,-31.285011291503906
1593069649.7758193,7,-22.60593032836914
1593069659.763461,8,-32.57075881958008
1593069669.9209104,9,-34.82624435424805
1593069679.4566898,10,-30.394365310668945
1593069689.7555022,11,-38.088321685791016
1593069699.9685988,12,-34.28037643432617
1593069709.5202076,13,-23.736452102661133
1593069718.6408727,14,-18.27191925048828
1593069728.008267,15,-23.000070571899414
1593069736.890205,16,-17.882007598876953
1593069746.639838,17,-28.807737350463867
1593069755.425088,18,-14.705147743225098
1593069764.1001818,19,-11.52713680267334
1593069772.793754,20,-10.143060684204102
1593069781.109081,21,-7.42451810836792
1593069789.3222344,22,-9.399351119995117
1593069798.0551136,23,-14.980804443359375
1593069806.5382123,24,-12.85046100616455
1593069815.0968761,25,-11.679635047912598
1593069847.8976007,26,-12.50719165802002
1593069856.322498,27,-10.221117973327637
1593069865.130906,28,-14.601285934448242
1593069873.5907543,29,-9.613683700561523
1593069882.0082057,30,-7.333400726318359
1593069890.203119,31,-6.132864952087402
1593069898.5419238,32,-7.104204177856445
1593069906.8465958,33,-6.734787940979004
1593069914.7900655,34,-5.896749019622803
1593069923.0351284,35,-5.786530494689941
1593069931.1783066,36,-7.566179275512695
1593069939.5514102,37,-5.844566822052002
1593069948.1079152,38,-9.706010818481445
1593069955.9523003,39,-5.665257453918457
1593069963.8818939,40,-5.704216003417969
1593069971.6532714,41,-4.669587135314941
1593069979.447962,42,-3.740570545196533
1593069987.165035,43,-3.190948009490967
1593069995.1341946,44,-2.980947971343994
1593070002.8378215,45,-2.586487054824829
1593070010.7534451,46,-2.9779739379882812
1593070018.4992092,47,-3.091486930847168
1593070027.2133076,48,-3.204460859298706
1593070035.2335043,49,-2.7950000762939453
1593070043.1893873,50,-3.122973918914795
1593070073.0174026,51,-2.6549999713897705
1593070081.0169504,52,-3.115000009536743
1593070089.130726,53,-2.7614870071411133
1593070096.9459164,54,-2.7300000190734863
1593070104.9210975,55,-3.552973985671997
1593070112.9486346,56,-3.2799999713897705
1593070121.0297008,57,-3.2300000190734863
1593070128.9427857,58,-3.2300000190734863
1593070136.8187933,59,-3.365000009536743
1593070145.1641803,60,-3.4000000953674316
1593070152.975098,61,-3.062973976135254
1593070160.944848,62,-2.9864869117736816
1593070168.9479516,63,-3.005000114440918
1593070177.804716,64,-3.1050000190734863
1593070185.8017824,65,-2.740000009536743
1593070193.698478,66,-3.234999895095825
1593070201.838189,67,-3.9649999141693115
1593070210.3869603,68,-2.950000047683716
1593070218.5348063,69,-3.015000104904175
1593070226.7701902,70,-2.990000009536743
1593070234.8689508,71,-3.0399999618530273
1593070242.7016864,72,-3.390000104904175
1593070250.3414772,73,-3.7200000286102295
1593070259.6132143,74,-3.7049999237060547
1593070268.0900316,75,-3.509999990463257
