Wall time,Step,Value
1608209513.652374,1,-134.0618133544922
1608209529.5060537,2,-113.84305572509766
1608209546.6585922,3,-128.25399780273438
1608209563.4154942,4,-119.14506530761719
1608209580.2791595,5,-119.17546844482422
1608209596.5514076,6,-108.64439392089844
1608209612.2250323,7,-97.30210876464844
1608209628.0580466,8,-93.9698257446289
1608209644.8539658,9,-127.87831115722656
1608209659.8190775,10,-89.96868133544922
1608209676.6930249,11,-114.39724731445312
1608209693.4444723,12,-131.72225952148438
1608209708.8483005,13,-97.62177276611328
1608209724.4625804,14,-104.81101989746094
1608209739.7733934,15,-102.57337951660156
1608209756.566245,16,-119.5689926147461
1608209772.802699,17,-109.14911651611328
1608209788.0117395,18,-98.27915954589844
1608209804.1067557,19,-102.49037170410156
1608209821.4816763,20,-96.05005645751953
1608209839.8039389,21,-84.78047943115234
1608209855.8580227,22,-78.75926971435547
1608209873.1310797,23,-100.55561828613281
1608209891.793554,24,-119.82623291015625
1608209909.5845203,25,-108.59842681884766
1608209926.0673304,26,-82.90349578857422
1608209942.9692457,27,-90.2636489868164
1608209959.4877985,28,-86.36353302001953
1608209976.3657367,29,-95.1436767578125
1608209995.4304254,30,-117.18915557861328
1608210012.086323,31,-88.22106170654297
1608210031.5354059,32,-135.35800170898438
1608210049.5150168,33,-94.70417785644531
1608210066.61922,34,-94.4077377319336
1608210084.5075927,35,-98.29678344726562
1608210101.8053143,36,-93.29309844970703
1608210119.9862928,37,-107.94721221923828
1608210139.7436087,38,-142.01980590820312
1608210156.8124962,39,-95.72864532470703
1608210173.1923046,40,-78.06452941894531
1608210191.7740228,41,-96.85607147216797
1608210208.6425471,42,-91.9063720703125
1608210225.7674894,43,-87.77562713623047
1608210242.1699636,44,-80.93540954589844
1608210257.4726377,45,-64.38734436035156
1608210274.3616621,46,-89.0057144165039
1608210291.0913315,47,-82.4667739868164
1608210308.1214628,48,-84.3759765625
1608210325.1151483,49,-81.30146789550781
1608210341.7399828,50,-79.74103546142578
1608210357.0304596,51,-68.7569351196289
1608210372.8439486,52,-76.30327606201172
1608210389.362236,53,-83.13752746582031
1608210404.7654786,54,-74.6087875366211
1608210420.1794822,55,-68.8874740600586
1608210435.7753897,56,-74.93880462646484
1608210451.4458148,57,-78.33027648925781
1608210467.1907468,58,-80.23651123046875
1608210482.534111,59,-70.5513916015625
1608210499.586834,60,-98.84246826171875
1608210514.834316,61,-53.3914680480957
1608210531.233414,62,-83.55951690673828
1608210545.6649773,63,-55.4527587890625
1608210560.3848653,64,-62.138023376464844
1608210574.4179947,65,-56.41792678833008
1608210588.2220447,66,-46.78694152832031
1608210602.8972182,67,-58.040016174316406
1608210617.4370573,68,-54.07225036621094
1608210632.0576985,69,-58.536041259765625
1608210645.813109,70,-44.6981315612793
1608210659.5740843,71,-52.134918212890625
1608210673.3099108,72,-46.465354919433594
1608210686.2089803,73,-41.251808166503906
1608210699.869976,74,-46.671024322509766
1608210713.7508218,75,-47.511756896972656
1608210725.8503952,76,-34.16746520996094
1608210739.2752676,77,-47.25880813598633
