Wall time,Step,Value
1608205084.4775648,1,-98.41179656982422
1608205102.4382622,2,-109.83108520507812
1608205121.3238268,3,-133.13624572753906
1608205139.747507,4,-129.12753295898438
1608205157.1279159,5,-104.28638458251953
1608205175.417038,6,-122.64763641357422
1608205194.0352223,7,-126.07251739501953
1608205211.4938643,8,-112.80142974853516
1608205227.9069738,9,-103.48331451416016
1608205245.2293503,10,-114.24334716796875
1608205262.0798273,11,-107.10176086425781
1608205279.1330564,12,-103.0051498413086
1608205296.2287726,13,-108.14464569091797
1608205312.295982,14,-89.7615966796875
1608205329.447001,15,-106.9657211303711
1608205347.5272381,16,-106.1365737915039
1608205364.2318392,17,-85.64469146728516
1608205380.6738896,18,-102.3438491821289
1608205398.7981513,19,-101.53987121582031
1608205416.100697,20,-94.14139556884766
1608205434.433649,21,-95.132568359375
1608205451.1855319,22,-94.34827423095703
1608205468.9783754,23,-99.36016082763672
1608205485.4686413,24,-85.8272705078125
1608205501.153753,25,-77.33299255371094
1608205518.5218654,26,-112.5264892578125
1608205535.3943527,27,-92.3975830078125
1608205551.661415,28,-83.3720474243164
1608205567.794621,29,-84.70870971679688
1608205584.0105689,30,-85.26773071289062
1608205599.4076998,31,-75.74365997314453
1608205616.9535997,32,-104.18545532226562
1608205633.6828554,33,-92.78329467773438
1608205649.960874,34,-80.87081909179688
1608205665.322977,35,-64.63802337646484
1608205682.550751,36,-86.25965118408203
1608205698.6395085,37,-81.49604797363281
1608205713.5393353,38,-67.84733581542969
1608205730.4738388,39,-90.15491485595703
1608205745.102509,40,-57.459800720214844
1608205761.8678832,41,-77.61734008789062
1608205777.79585,42,-78.98912811279297
1608205794.0221894,43,-85.1713638305664
1608205808.4187658,44,-60.67123794555664
1608205823.0372088,45,-59.54054260253906
1608205838.3758323,46,-71.81411743164062
1608205852.4628708,47,-56.26486587524414
1608205868.284404,48,-77.22193908691406
1608205882.7605476,49,-51.29436111450195
1608205896.407017,50,-44.736087799072266
1608205910.7917078,51,-55.205116271972656
1608205924.7028918,52,-48.9426383972168
1608205938.9840615,53,-53.74412155151367
1608205953.395153,54,-59.86198806762695
1608205967.3561895,55,-51.733184814453125
1608205979.8884494,56,-35.630279541015625
1608205993.1472633,57,-41.49369812011719
1608206007.0487058,58,-53.92340087890625
1608206019.3537457,59,-33.411537170410156
1608206031.7828329,60,-39.49371337890625
1608206045.0953481,61,-31.324594497680664
1608206057.7041814,62,-37.38902282714844
1608206070.300795,63,-38.93116760253906
1608206082.4861743,64,-29.70263671875
1608206094.8434074,65,-31.985258102416992
1608206106.94504,66,-30.192684173583984
1608206119.1848269,67,-23.977750778198242
1608206130.9211507,68,-26.401609420776367
1608206142.6212091,69,-25.019933700561523
1608206154.0498765,70,-24.179298400878906
1608206165.5843687,71,-25.124143600463867
1608206176.8593736,72,-21.901330947875977
1608206188.048158,73,-20.63323211669922
1608206199.698963,74,-22.795928955078125
1608206211.3259053,75,-21.375734329223633
1608206222.4974287,76,-17.855417251586914
1608206233.5954604,77,-17.04010581970215
1608206244.819029,78,-20.01820182800293
1608206256.577494,79,-19.06961441040039
1608206268.6849504,80,-17.040267944335938
