Wall time,Step,Value
1608467883.6416464,1,-191.908447265625
1608467902.3034768,2,-191.5944366455078
1608467920.402767,3,-198.32664489746094
1608467938.6221607,4,-182.24630737304688
1608467956.5838568,5,-173.64801025390625
1608467974.3761814,6,-166.09542846679688
1608467993.3339887,7,-172.87501525878906
1608468011.4030225,8,-168.09719848632812
1608468029.0523713,9,-151.248779296875
1608468047.4956396,10,-161.44630432128906
1608468064.5848181,11,-141.12039184570312
1608468082.5354798,12,-147.7682647705078
1608468100.238206,13,-158.607421875
1608468116.2819378,14,-119.51241302490234
1608468134.3680496,15,-163.25283813476562
1608468150.6280344,16,-125.85538482666016
1608468167.0593393,17,-132.58226013183594
1608468185.1085215,18,-160.50770568847656
1608468202.103523,19,-136.89732360839844
1608468218.9991984,20,-148.96714782714844
1608468236.2628462,21,-109.8366470336914
1608468252.1507363,22,-129.8301239013672
1608468270.5231187,23,-151.19451904296875
1608468287.8299356,24,-150.3450927734375
1608468303.9958105,25,-132.59564208984375
1608468321.5762784,26,-159.79473876953125
1608468337.1793249,27,-108.74827575683594
1608468355.0960119,28,-167.1167449951172
1608468372.4958658,29,-143.79736328125
1608468390.8192055,30,-165.175048828125
1608468409.114671,31,-159.93548583984375
1608468424.0286818,32,-97.81271362304688
1608468440.4147696,33,-116.7703857421875
1608468458.9207184,34,-172.18003845214844
1608468477.5752916,35,-167.55174255371094
1608468495.185458,36,-162.82505798339844
1608468512.8619494,37,-166.0949249267578
1608468528.7255197,38,-104.72932434082031
1608468544.4038973,39,-125.87677001953125
1608468560.4350905,40,-130.98370361328125
1608468577.9233553,41,-120.13015747070312
1608468595.6745372,42,-175.36288452148438
1608468612.126521,43,-122.14588165283203
1608468629.3240974,44,-134.1300811767578
1608468645.657346,45,-123.77069854736328
1608468661.71346,46,-116.98139953613281
1608468678.1871061,47,-121.07797241210938
1608468694.5444133,48,-113.6656494140625
1608468710.5197742,49,-109.52300262451172
1608468725.556834,50,-108.10136413574219
1608468739.948972,51,-81.54556274414062
