Wall time,Step,Value
1608451266.6149771,1,-199.28683471679688
1608451281.4736264,2,-187.4679412841797
1608451295.4459784,3,-201.8857879638672
1608451310.0889502,4,-193.28988647460938
1608451325.2989573,5,-162.64999389648438
1608451339.9679441,6,-176.23052978515625
1608451353.4597936,7,-147.3342742919922
1608451367.5874064,8,-163.34475708007812
1608451382.9319477,9,-193.59181213378906
1608451397.4990084,10,-155.95794677734375
1608451411.681483,11,-157.93661499023438
1608451425.6972084,12,-150.27769470214844
1608451440.4981225,13,-138.72447204589844
1608451455.032637,14,-127.52503967285156
1608451474.669508,15,-186.55682373046875
1608451489.033481,16,-113.76666259765625
1608451502.864139,17,-107.54136657714844
1608451515.6154163,18,-93.59680938720703
1608451528.8614516,19,-115.57130432128906
1608451544.5712686,20,-159.9844207763672
1608451561.0817077,21,-144.9795379638672
1608451574.6724217,22,-108.01504516601562
1608451589.7867477,23,-147.1199951171875
1608451605.1564138,24,-141.5838165283203
1608451619.8218923,25,-133.5216064453125
1608451635.1008463,26,-141.43896484375
1608451649.425664,27,-126.6080322265625
1608451663.521668,28,-113.41943359375
1608451678.5843844,29,-126.90772247314453
1608451693.3028286,30,-126.23503112792969
1608451708.8446302,31,-156.2521514892578
1608451724.5247836,32,-154.33547973632812
1608451738.0284317,33,-103.0430908203125
1608451751.4565442,34,-96.01858520507812
1608451765.9045603,35,-133.93077087402344
1608451780.5759525,36,-121.81285858154297
1608451794.5881984,37,-112.84497833251953
1608451808.4863696,38,-115.39229583740234
1608451821.9052022,39,-98.03450775146484
1608451836.664555,40,-131.56353759765625
1608451851.2664866,41,-111.08832550048828
1608451863.806294,42,-88.38805389404297
1608451876.1617775,43,-83.28560638427734
1608451889.7347405,44,-106.7562255859375
1608451903.1855202,45,-98.85138702392578
1608451917.150128,46,-114.94258880615234
1608451931.95764,47,-120.97682189941406
1608451945.0197637,48,-89.55923461914062
1608451958.6889236,49,-98.30429077148438
1608451972.6976275,50,-112.09955596923828
1608451985.6724267,51,-92.52738189697266
1608451999.2351053,52,-108.96234130859375
1608452014.0071154,53,-140.44142150878906
1608452027.4815588,54,-101.48924255371094
1608452041.4531064,55,-94.56713104248047
1608452055.265886,56,-96.98716735839844
1608452069.3259425,57,-79.44985961914062
1608452083.4371743,58,-83.01533508300781
1608452097.155086,59,-75.78919219970703
1608452111.5199158,60,-90.64478302001953
1608452126.6279163,61,-78.04008483886719
1608452139.756905,62,-62.93363571166992
1608452153.3526468,63,-81.79006958007812
1608452167.8086412,64,-81.57038116455078
1608452180.8702369,65,-60.76387023925781
1608452193.819097,66,-63.3527946472168
1608452206.414611,67,-62.164772033691406
1608452219.337915,68,-61.592777252197266
1608452232.3156254,69,-57.64222717285156
1608452244.7994227,70,-55.957130432128906
1608452258.4483633,71,-76.6834716796875
1608452271.1420164,72,-60.53893280029297
1608452282.9734178,73,-47.86427307128906
1608452295.9440944,74,-55.477294921875
1608452308.442506,75,-48.60768127441406
1608452320.3139348,76,-49.671142578125
1608452331.876417,77,-47.6198616027832
1608452345.437535,78,-61.406307220458984
1608452357.2092094,79,-49.48424530029297
1608452369.0397654,80,-41.648475646972656
1608452381.5014865,81,-34.69921875
1608452392.8237045,82,-36.98952865600586
1608452404.4094257,83,-43.86884307861328
1608452415.8773966,84,-37.66559982299805
1608452426.8097231,85,-33.214420318603516
1608452437.879156,86,-35.73697280883789
1608452449.6458943,87,-34.36818313598633
1608452461.4114864,88,-30.830671310424805
1608452472.4278865,89,-32.911258697509766
1608452483.401943,90,-33.391902923583984
1608452494.5665634,91,-29.485519409179688
1608452506.4269764,92,-31.729957580566406
1608452517.8648198,93,-32.25927734375
1608452529.1220005,94,-27.623897552490234
1608452540.9327993,95,-29.301958084106445
1608452552.8903537,96,-31.106597900390625
1608452564.8598137,97,-29.069171905517578
1608452576.8296504,98,-30.111530303955078
1608452588.2558959,99,-27.378023147583008
1608452599.9586916,100,-32.45838928222656
1608452612.9696987,101,-25.76755714416504
1608452624.030384,102,-23.600263595581055
1608452635.3461082,103,-26.32231330871582
1608452646.7503512,104,-26.213605880737305
1608452658.1786795,105,-29.301191329956055
1608452669.7203937,106,-28.39747428894043
1608452680.8394608,107,-23.220905303955078
1608452691.697574,108,-26.914398193359375
1608452703.0460956,109,-26.21788215637207
1608452714.1556826,110,-26.51508331298828
1608452723.9993048,111,-20.68181800842285
1608452734.0747783,112,-22.3591365814209
1608452744.5371451,113,-25.151376724243164
1608452754.6317077,114,-21.60929298400879
1608452765.217867,115,-27.064224243164062
1608452775.6071177,116,-23.351778030395508
1608452785.433342,117,-20.200115203857422
1608452795.8519022,118,-23.64911460876465
1608452806.1105433,119,-24.285614013671875
1608452816.8282433,120,-24.847951889038086
1608452828.527516,121,-23.85485076904297
1608452838.9415116,122,-24.53000831604004
1608452849.319778,123,-22.134838104248047
1608452859.2304294,124,-19.86113739013672
1608452869.0292423,125,-18.91340446472168
1608452879.3094428,126,-21.676950454711914
1608452889.5272279,127,-18.77210235595703
1608452899.644345,128,-20.517257690429688
1608452909.47089,129,-16.714841842651367
1608452919.404911,130,-17.338342666625977
1608452929.1921659,131,-20.79652976989746
1608452938.6303654,132,-17.960662841796875
1608452948.4066968,133,-17.20939826965332
1608452958.6708462,134,-21.66110610961914
1608452968.8248112,135,-19.89334487915039
1608452978.6508822,136,-16.385902404785156
1608452989.1242266,137,-23.61177635192871
1608452998.9590578,138,-19.026351928710938
1608453008.7426758,139,-19.811010360717773
1608453018.7075055,140,-16.96737289428711
1608453030.0330915,141,-19.10928726196289
1608453039.686145,142,-17.57073211669922
1608453049.0937953,143,-17.41555404663086
1608453058.749648,144,-18.55707359313965
1608453068.3151064,145,-17.016077041625977
1608453077.7092464,146,-14.615477561950684
1608453087.429939,147,-19.421627044677734
1608453096.6033063,148,-13.809956550598145
1608453106.7630072,149,-18.064783096313477
1608453116.546249,150,-16.95486831665039
1608453126.3085425,151,-18.268888473510742
1608453135.6174178,152,-13.496112823486328
1608453145.1956322,153,-16.186416625976562
1608453154.774501,154,-14.97978401184082
1608453164.813523,155,-16.049571990966797
1608453174.2182841,156,-12.13304328918457
1608453184.7896504,157,-17.84236717224121
1608453194.7647169,158,-17.74858856201172
1608453204.8471777,159,-17.3767032623291
1608453215.1010327,160,-16.587684631347656
1608453226.174398,161,-12.23537826538086
1608453235.4906244,162,-13.437975883483887
1608453244.704957,163,-14.024075508117676
1608453254.1572344,164,-12.908631324768066
1608453263.307368,165,-13.00371265411377
1608453272.4676657,166,-13.400544166564941
1608453281.38015,167,-11.328744888305664
1608453290.5858095,168,-11.640958786010742
1608453300.91036,169,-26.3870906829834
1608453310.942744,170,-21.153301239013672
1608453320.2484787,171,-14.184659004211426
1608453330.32998,172,-17.09629249572754
1608453339.7448637,173,-14.968955039978027
1608453349.0988672,174,-15.820527076721191
1608453358.7423646,175,-16.51841926574707
1608453368.0622864,176,-14.33547306060791
1608453377.1164756,177,-13.820128440856934
1608453386.4907343,178,-15.185380935668945
1608453395.4365835,179,-12.91141128540039
1608453404.71351,180,-14.234718322753906
1608453414.8818686,181,-13.129878997802734
1608453423.715206,182,-12.238632202148438
1608453433.13128,183,-16.9486083984375
1608453442.0510983,184,-12.289933204650879
1608453451.424577,185,-15.746321678161621
1608453461.7256489,186,-23.35201072692871
1608453471.1721241,187,-16.898670196533203
1608453480.3842554,188,-14.802435874938965
1608453489.182913,189,-11.304327964782715
1608453498.1645458,190,-10.897953987121582
1608453507.2288003,191,-12.83652400970459
1608453516.2751322,192,-11.67818832397461
1608453525.676923,193,-13.437860488891602
1608453535.1647365,194,-15.149208068847656
1608453543.9725873,195,-11.667348861694336
1608453552.8885274,196,-11.13666820526123
1608453562.1883504,197,-14.659116744995117
1608453571.2535117,198,-11.169745445251465
1608453580.107612,199,-11.577933311462402
1608453589.0154178,200,-14.737773895263672
1608453599.1455083,201,-11.172992706298828
1608453607.9594681,202,-11.353659629821777
1608453616.9699266,203,-10.796138763427734
1608453626.2695758,204,-16.680112838745117
1608453635.4831078,205,-12.769384384155273
1608453644.7944117,206,-12.265210151672363
1608453654.1066473,207,-11.598670959472656
1608453662.939419,208,-10.823246955871582
1608453671.5492306,209,-10.67831039428711
1608453680.345141,210,-11.355972290039062
1608453689.0136142,211,-12.663880348205566
1608453698.0222936,212,-11.121872901916504
1608453706.8954823,213,-10.098974227905273
1608453715.7156699,214,-13.942635536193848
1608453724.4835112,215,-11.241162300109863
1608453733.2322488,216,-10.937966346740723
1608453741.8842285,217,-9.874589920043945
1608453750.8495808,218,-13.130264282226562
1608453759.6566167,219,-11.350337028503418
1608453768.6387157,220,-12.833784103393555
1608453778.9279144,221,-10.641874313354492
1608453787.8601732,222,-12.346857070922852
1608453797.6280181,223,-16.102832794189453
1608453807.26695,224,-14.971909523010254
1608453816.2939196,225,-12.865571975708008
1608453825.6557436,226,-12.95390510559082
1608453834.476252,227,-11.62546157836914
1608453843.3215191,228,-10.936058044433594
1608453852.2028892,229,-10.202994346618652
1608453860.8160198,230,-9.182744979858398
1608453869.4334948,231,-10.49020767211914
1608453878.5096276,232,-13.942900657653809
1608453888.048298,233,-15.727774620056152
1608453896.8808944,234,-11.760441780090332
1608453905.8749428,235,-12.759481430053711
1608453914.9464672,236,-9.645528793334961
1608453923.9594421,237,-11.53167724609375
1608453932.8140724,238,-9.920557975769043
1608453941.6441832,239,-9.77690601348877
1608453950.2105546,240,-11.366850852966309
1608453960.3846643,241,-9.644893646240234
1608453970.0405052,242,-11.129899978637695
1608453979.3588703,243,-10.231990814208984
1608453990.5568047,244,-26.700952529907227
1608454001.1675465,245,-17.752687454223633
1608454011.3027601,246,-14.477588653564453
1608454020.9561644,247,-12.175050735473633
1608454030.6236153,248,-11.939759254455566
1608454039.8506372,249,-12.344547271728516
1608454048.6920967,250,-10.370572090148926
1608454057.3179016,251,-10.780658721923828
1608454066.22749,252,-10.156394958496094
1608454075.2036035,253,-13.792004585266113
1608454084.2731934,254,-12.801305770874023
1608454093.166547,255,-10.804434776306152
1608454101.9280844,256,-9.779208183288574
1608454110.7948928,257,-11.346209526062012
1608454119.3854635,258,-11.147701263427734
1608454128.424918,259,-12.851664543151855
1608454137.1795187,260,-10.535543441772461
1608454147.2061944,261,-10.2732572555542
1608454156.106661,262,-10.030896186828613
1608454165.0877674,263,-13.379406929016113
1608454173.8550456,264,-11.319276809692383
1608454182.5414495,265,-9.775774002075195
1608454191.624197,266,-10.489300727844238
1608454200.7744188,267,-12.914460182189941
1608454210.477013,268,-18.5131893157959
1608454219.4272587,269,-13.009184837341309
1608454228.3916862,270,-10.468116760253906
1608454237.1127954,271,-10.324228286743164
1608454246.1159947,272,-10.145953178405762
1608454254.7397316,273,-10.011666297912598
1608454263.538035,274,-10.217415809631348
1608454272.1129482,275,-9.630565643310547
1608454280.6713417,276,-9.61219596862793
1608454290.9616623,277,-9.606032371520996
1608454301.3455327,278,-12.339375495910645
1608454311.361867,279,-9.871795654296875
1608454321.6472561,280,-10.144633293151855
1608454333.0481622,281,-10.100420951843262
1608454342.7647655,282,-9.29788875579834
1608454351.6989348,283,-10.26529312133789
1608454360.779847,284,-10.448019027709961
1608454370.9578962,285,-9.611433029174805
1608454380.5281932,286,-9.938338279724121
1608454390.2639148,287,-10.411250114440918
1608454399.6948674,288,-9.5657377243042
1608454409.2308848,289,-10.829362869262695
1608454418.818429,290,-9.766032218933105
1608454428.76837,291,-12.825484275817871
1608454438.4073658,292,-9.625493049621582
1608454447.5392783,293,-9.845701217651367
1608454457.68594,294,-13.97349739074707
1608454467.5465865,295,-10.858867645263672
1608454477.2767062,296,-11.09216022491455
1608454486.799089,297,-9.95628833770752
1608454496.9440403,298,-14.009698867797852
1608454507.032293,299,-14.684551239013672
1608454516.458507,300,-11.259334564208984
1608454527.2283647,301,-9.420210838317871
1608454536.7756867,302,-11.871896743774414
1608454546.3262157,303,-10.752224922180176
1608454555.6029956,304,-8.991338729858398
1608454565.1176252,305,-9.285632133483887
1608454575.0969813,306,-14.576485633850098
1608454585.2838597,307,-14.247535705566406
1608454594.949504,308,-11.014007568359375
1608454604.4979699,309,-10.955770492553711
1608454614.3861666,310,-12.420365333557129
1608454624.204163,311,-10.403682708740234
1608454633.5683148,312,-9.36482048034668
1608454642.9880443,313,-10.72317886352539
1608454652.395234,314,-10.146746635437012
1608454661.8521657,315,-10.615472793579102
1608454672.9829967,316,-23.004695892333984
1608454683.4096518,317,-13.222214698791504
1608454693.7517524,318,-15.684249877929688
1608454704.2782207,319,-16.055335998535156
1608454714.3240335,320,-12.50070858001709
1608454725.5481987,321,-11.848214149475098
1608454735.3034544,322,-11.461597442626953
1608454745.0155823,323,-10.372440338134766
1608454754.659975,324,-10.313006401062012
1608454764.6052723,325,-9.953441619873047
1608454774.2790594,326,-9.756365776062012
1608454783.7795706,327,-9.81470012664795
1608454794.339436,328,-12.396174430847168
1608454804.1131296,329,-9.659025192260742
1608454813.9311218,330,-10.786345481872559
1608454823.6811535,331,-11.134623527526855
1608454834.0537205,332,-10.386055946350098
1608454843.918474,333,-11.577788352966309
1608454853.5980046,334,-10.424922943115234
1608454863.1543965,335,-9.424544334411621
1608454872.8761528,336,-10.61990737915039
1608454882.4670181,337,-10.986408233642578
1608454892.3158448,338,-10.178216934204102
1608454902.1198075,339,-10.364672660827637
1608454912.04246,340,-14.204909324645996
1608454923.170993,341,-10.50967025756836
1608454933.7301066,342,-16.444982528686523
1608454943.6385965,343,-11.859064102172852
1608454953.0894833,344,-11.03927993774414
1608454962.8799646,345,-11.03603458404541
1608454972.5390835,346,-10.704832077026367
1608454983.28062,347,-19.846633911132812
1608454993.3107703,348,-10.25227165222168
1608455003.2245564,349,-9.186275482177734
1608455012.522728,350,-10.035822868347168
1608455021.9049377,351,-9.684586524963379
1608455031.290904,352,-9.269856452941895
1608455040.7177112,353,-10.096955299377441
1608455050.385955,354,-10.460410118103027
1608455059.817474,355,-9.314094543457031
1608455069.549872,356,-11.203320503234863
1608455080.0596406,357,-19.544355392456055
1608455089.85403,358,-10.692768096923828
1608455099.3375075,359,-9.256637573242188
1608455108.5738354,360,-10.315519332885742
1608455119.4882686,361,-9.325074195861816
1608455128.7235892,362,-9.029767990112305
1608455138.6187387,363,-12.200479507446289
1608455148.6401906,364,-9.898831367492676
1608455158.1127594,365,-10.020960807800293
1608455168.351235,366,-11.287010192871094
1608455177.6271527,367,-9.550135612487793
1608455187.1526375,368,-9.987031936645508
1608455196.9815757,369,-10.58081340789795
