Wall time,Step,Value
1602519411.1738236,6,-114.1336898803711
1602519437.324063,7,-111.76143646240234
1602519539.704895,11,-119.11126708984375
1602519564.8800216,12,-125.75145721435547
1602519635.917301,15,-92.95438385009766
1602519658.5211709,16,-98.90508270263672
1602519727.4686844,19,-90.87580871582031
1602519750.776018,20,-113.87484741210938
1602519777.1801932,21,-130.12158203125
1602519871.0044987,25,-126.712646484375
1602520141.0342171,37,-90.06629943847656
1602520231.6504135,41,-107.41547393798828
1602520273.1275167,43,-73.40350341796875
1602520318.197119,45,-95.51207733154297
1602520340.3693488,46,-101.04779052734375
1602520382.5185797,48,-78.192138671875
1602520427.091052,50,-95.54621124267578
1602520517.3022773,54,-86.89713287353516
1602520538.5054631,55,-87.64412689208984
1602520560.1241865,56,-93.70240020751953
1602520582.6035812,57,-103.46371459960938
1602520604.1907477,58,-89.4271240234375
1602520735.871798,64,-91.57501983642578
1602520779.034226,66,-88.74224853515625
1602520802.1935687,67,-118.37117767333984
1602520825.2903671,68,-111.07982635498047
1602520848.5451972,69,-106.11276245117188
1602520920.8476224,72,-94.45993041992188
1602520945.3961143,73,-125.08870697021484
1602520968.88557,74,-118.8223876953125
1602520992.130069,75,-115.63487243652344
1602521109.235266,80,-103.0661849975586
1602521222.7952633,85,-120.77747344970703
1602521289.3859153,88,-104.47978973388672
1602521311.4045663,89,-98.13541412353516
1602521445.9754274,95,-85.80332946777344
1602521615.9963381,103,-112.45284271240234
1602521677.5392811,106,-77.65201568603516
1602521701.0506234,107,-116.05258178710938
1602521854.3125103,114,-82.01190948486328
1602521919.1173718,117,-99.41593170166016
1602521961.481446,119,-105.21149444580078
1602522109.3308468,126,-77.75764465332031
1602522129.9558582,127,-82.96778106689453
1602522194.1659606,130,-76.95974731445312
1602522216.6236603,131,-85.8934326171875
1602522363.3412235,138,-89.13278198242188
1602522408.3931494,140,-114.06958770751953
1602522452.1430075,142,-81.78555297851562
1602522474.3718865,143,-102.42949676513672
1602522494.2696261,144,-69.02466583251953
1602522634.4631646,151,-65.1882553100586
1602522738.7018752,156,-100.69717407226562
1602522782.9746475,158,-105.30374908447266
1602522802.5091898,159,-75.72401428222656
1602522822.5516138,160,-74.15650177001953
1602522887.9018867,163,-83.68180084228516
1602522950.2509463,166,-89.38529205322266
1602522989.9224055,168,-88.54598236083984
1602523008.6742063,169,-64.10530090332031
1602523070.2728724,172,-67.622802734375
1602523189.3027353,178,-70.39083862304688
1602523209.9037898,179,-77.35581970214844
1602523253.966382,181,-80.63593292236328
1602523312.2871542,184,-64.93341064453125
1602523351.6907094,186,-72.13322448730469
1602523370.3461525,187,-62.02190399169922
1602523410.5230088,189,-62.77151107788086
1602523453.1247091,191,-89.38860321044922
1602523472.2427347,192,-68.2982177734375
1602523612.2717357,199,-60.16245651245117
1602523764.8107517,207,-59.5210075378418
1602523782.635798,208,-55.262939453125
1602523800.3284066,209,-51.15533447265625
1602523876.2511396,213,-53.28766632080078
1602524056.7831106,223,-59.5748291015625
1602524075.0796945,224,-57.635154724121094
1602524112.5781963,226,-68.86627960205078
1602524186.4439347,230,-81.09136199951172
1602524241.026925,233,-51.59754943847656
1602524258.7093952,234,-61.39379119873047
1602524277.115942,235,-60.54587173461914
1602524331.0129979,238,-47.104347229003906
1602524506.1191344,248,-49.9444694519043
1602524542.2102757,250,-58.05902862548828
1602524647.2572434,256,-45.41725158691406
1602524698.3721666,259,-43.02436065673828
1602524714.5368676,260,-39.90713882446289
1602524733.0237815,261,-41.266292572021484
1602524750.1212635,262,-45.75261688232422
1602524786.0546007,264,-50.247501373291016
1602524852.9164925,268,-43.71782684326172
1602524922.4780061,272,-44.452728271484375
1602524954.5452986,274,-36.547916412353516
1602525033.7070882,279,-29.50063705444336
1602525130.0787024,285,-27.91426658630371
1602525243.482574,292,-35.02885055541992
1602525260.5378206,293,-39.423397064208984
1602525341.1958086,298,-26.498735427856445
1602525355.698208,299,-24.945215225219727
1602525402.7827222,302,-25.092199325561523
1602525417.8979995,303,-27.78668785095215
1602525433.1071184,304,-29.65925407409668
1602525493.8931427,308,-32.629478454589844
1602525508.6988628,309,-25.372303009033203
1602525539.9518661,311,-27.709716796875
1602525585.2320528,314,-32.82249450683594
1602525644.017357,318,-25.252662658691406
1602525659.029716,319,-26.07133674621582
1602525674.2474337,320,-25.87582778930664
1602525690.5457318,321,-21.9669132232666
1602525719.567916,323,-22.371397018432617
1602525762.6023443,326,-22.53927230834961
1602525776.5532167,327,-21.462669372558594
1602525790.403856,328,-20.843847274780273
1602525834.8108487,331,-20.311973571777344
1602525877.8621113,334,-24.367849349975586
1602525964.3990903,340,-23.553342819213867
1602525994.2653542,342,-17.33386993408203
1602526036.8645773,345,-22.692676544189453
1602526051.5035086,346,-25.31192970275879
1602526078.7752542,348,-16.818296432495117
1602526093.0970378,349,-24.42864990234375
1602526164.7622936,354,-23.887914657592773
1602526178.3219945,355,-18.37510108947754
1602526233.9549794,359,-17.378311157226562
1602526262.9040008,361,-19.05683135986328
1602526304.2041557,364,-19.120075225830078
1602526360.0341487,368,-18.37394142150879
1602526416.2183034,372,-19.61083221435547
1602526444.268091,374,-17.513671875
1602526498.6515362,378,-15.62961196899414
1602526512.1626258,379,-16.998353958129883
1602526526.0407605,380,-21.161806106567383
1602526554.8943396,382,-15.000500679016113
1602526622.8550446,387,-15.940537452697754
1602526635.8945735,388,-15.847054481506348
1602526690.755129,392,-13.734854698181152
1602526704.021441,393,-14.59467887878418
1602526717.115422,394,-16.42171287536621
1602526855.0057614,404,-18.866519927978516
1602526924.0141456,409,-14.670490264892578
1602527017.6493607,416,-13.619235038757324
1602527030.9340632,417,-16.682361602783203
1602527098.841828,422,-13.406661987304688
1602527112.14957,423,-14.181079864501953
1602527138.11755,425,-15.021208763122559
1602527164.8369644,427,-16.45050811767578
1602527219.4326036,431,-14.06856632232666
1602527337.6365857,440,-13.471685409545898
1602527365.6316876,442,-12.64719295501709
1602527378.0438845,443,-10.56700325012207
