Wall time,Step,Value
1608530036.2134387,1,-190.90676879882812
1608530048.4043155,2,-209.15267944335938
1608530062.0348628,3,-207.86741638183594
1608530075.2882442,4,-210.26832580566406
1608530090.0223286,5,-188.3307342529297
1608530103.894779,6,-171.3964385986328
1608530119.027751,7,-183.50486755371094
1608530132.8423755,8,-198.77542114257812
1608530147.2099042,9,-186.43991088867188
1608530161.6922953,10,-169.2511444091797
1608530175.8303466,11,-189.91773986816406
1608530191.551332,12,-176.75572204589844
1608530206.603679,13,-195.8422088623047
1608530220.6928067,14,-179.9017791748047
1608530235.1191835,15,-186.0476837158203
1608530250.597189,16,-174.5043182373047
1608530265.8293595,17,-179.30043029785156
1608530279.781698,18,-148.30804443359375
1608530294.592386,19,-169.14791870117188
1608530309.3452816,20,-159.76531982421875
1608530325.7558198,21,-164.42208862304688
1608530339.4860578,22,-152.63232421875
1608530354.0094702,23,-167.86929321289062
1608530368.2942648,24,-176.9816436767578
1608530381.5701709,25,-142.66397094726562
1608530396.0170999,26,-168.40135192871094
1608530410.9071295,27,-160.84181213378906
1608530424.8232458,28,-165.72825622558594
1608530438.1060634,29,-139.40077209472656
1608530452.7390509,30,-165.1710662841797
1608530466.9906297,31,-162.66360473632812
1608530481.0743191,32,-157.30325317382812
1608530495.825377,33,-163.73379516601562
1608530508.7935922,34,-128.13177490234375
1608530521.9830077,35,-137.31997680664062
1608530535.426833,36,-135.42782592773438
1608530549.851892,37,-150.4596710205078
1608530564.3574717,38,-163.40634155273438
1608530579.7706885,39,-190.8606414794922
1608530593.9753983,40,-158.69058227539062
1608530608.9311476,41,-174.0272979736328
1608530622.0037618,42,-123.21198272705078
1608530635.4638004,43,-140.67372131347656
1608530650.0060008,44,-179.79116821289062
1608530662.9362307,45,-150.63722229003906
1608530677.5296645,46,-187.01959228515625
1608530691.962906,47,-176.68634033203125
1608530706.0574546,48,-174.41796875
1608530719.5260386,49,-160.5765838623047
1608530733.5366006,50,-171.6980438232422
1608530747.9787343,51,-166.62457275390625
1608530761.2954175,52,-148.0638427734375
1608530775.358288,53,-147.98851013183594
1608530789.5374477,54,-157.1382598876953
1608530804.9381285,55,-197.70863342285156
1608530819.061364,56,-161.6197967529297
1608530833.3820474,57,-171.57476806640625
1608530847.4092698,58,-143.3681640625
1608530861.4805083,59,-150.95152282714844
1608530874.9187508,60,-154.09454345703125
1608530891.4464023,61,-210.1680450439453
1608530905.4430583,62,-166.83065795898438
1608530919.972254,63,-157.45062255859375
1608530933.8252523,64,-154.23716735839844
1608530947.5981512,65,-135.56643676757812
1608530960.4066997,66,-112.48792266845703
1608530974.026119,67,-143.142333984375
1608530987.6811535,68,-143.59259033203125
1608531001.9980476,69,-161.81166076660156
1608531015.0244308,70,-129.22901916503906
1608531028.5037284,71,-128.900146484375
1608531041.553189,72,-124.58210754394531
1608531054.8649614,73,-125.7289810180664
1608531067.6664615,74,-115.5235366821289
1608531080.3350449,75,-117.36177062988281
1608531094.3638287,76,-145.69004821777344
1608531108.1855772,77,-165.0678253173828
1608531120.9663663,78,-112.76070404052734
1608531134.7905521,79,-137.8416290283203
1608531148.256611,80,-139.57313537597656
1608531163.051236,81,-140.67947387695312
1608531175.9671683,82,-141.35787963867188
1608531190.331831,83,-170.5592041015625
1608531202.9094868,84,-117.8549575805664
1608531216.787862,85,-146.5535125732422
1608531230.1936815,86,-128.0799560546875
1608531242.1519747,87,-103.67598724365234
1608531255.0751324,88,-120.88457489013672
1608531268.4240043,89,-122.91160583496094
1608531282.3333292,90,-149.29212951660156
1608531295.4700747,91,-111.97560119628906
1608531307.9798906,92,-110.30467224121094
1608531323.4587731,93,-200.99456787109375
1608531337.7182612,94,-160.77455139160156
1608531353.1364925,95,-198.0810089111328
1608531366.781731,96,-144.72299194335938
1608531380.4631097,97,-150.17967224121094
1608531395.9272714,98,-201.02528381347656
1608531410.7291653,99,-175.90805053710938
1608531426.717765,100,-195.9577178955078
1608531442.563324,101,-183.75140380859375
1608531456.930365,102,-156.22105407714844
1608531471.6679614,103,-165.6719970703125
1608531486.7818248,104,-171.86724853515625
1608531502.374102,105,-209.7887725830078
1608531515.9734416,106,-131.49130249023438
1608531530.5386052,107,-168.40594482421875
1608531544.8378925,108,-148.77996826171875
1608531558.3676093,109,-134.54360961914062
1608531571.6138232,110,-118.52933502197266
1608531586.955992,111,-160.8102264404297
1608531602.3666186,112,-137.8379364013672
1608531617.2565866,113,-128.33885192871094
1608531632.2535949,114,-144.2921905517578
1608531646.8951764,115,-162.05926513671875
1608531659.7929747,116,-115.65485382080078
1608531674.9366183,117,-129.07200622558594
1608531690.1668758,118,-174.85296630859375
1608531706.412501,119,-167.65562438964844
1608531721.3923137,120,-128.94357299804688
1608531740.0827007,121,-226.82183837890625
1608531755.1115031,122,-162.82037353515625
1608531770.9749174,123,-123.90897369384766
1608531787.2611418,124,-127.55879974365234
1608531801.1367457,125,-103.08251190185547
1608531816.1562324,126,-158.35629272460938
1608531830.9222534,127,-169.99949645996094
1608531844.7269473,128,-140.00108337402344
1608531858.9518378,129,-140.42100524902344
1608531874.3792975,130,-177.8110809326172
1608531888.3522263,131,-143.88519287109375
1608531903.2212245,132,-152.35964965820312
1608531916.8209455,133,-143.99658203125
1608531930.707809,134,-139.61392211914062
1608531943.6557958,135,-106.53858184814453
1608531956.26392,136,-112.50834655761719
1608531969.7788877,137,-110.60089874267578
1608531983.0018826,138,-107.7366714477539
1608531996.9392564,139,-122.31139373779297
1608532011.2945244,140,-124.11712646484375
1608532025.7473192,141,-104.4745864868164
1608532038.5702825,142,-104.60472106933594
1608532052.2697804,143,-133.735107421875
1608532065.8602273,144,-138.3710174560547
1608532078.0528986,145,-104.14480590820312
1608532090.1877759,146,-104.46495056152344
1608532103.3672445,147,-125.3782958984375
1608532116.3852618,148,-117.40970611572266
1608532128.473599,149,-104.44939422607422
1608532140.857058,150,-121.33668518066406
1608532153.6667178,151,-114.99671173095703
1608532167.3855464,152,-147.595703125
1608532180.3326943,153,-114.64484405517578
