Wall time,Step,Value
1590420032.1351905,6,-85.70654296875
1590420144.2720304,19,-52.934051513671875
1590420194.7307568,25,-90.58902740478516
1590420367.830142,41,-92.41036987304688
1590420384.2375114,43,-89.13429260253906
1590420409.1724133,46,-78.33539581298828
1590420501.9358172,54,-122.40884399414062
1590420526.6896136,57,-66.40489196777344
1590420653.4482138,72,-79.39677429199219
1590420676.7818768,75,-67.59133911132812
1590420861.7787738,95,-72.4134292602539
1590420945.3826263,103,-57.661231994628906
1590420968.9251134,106,-63.35856246948242
1590420976.453356,107,-53.767333984375
1590421163.7130234,127,-93.64733123779297
1590421278.2733295,140,-77.77063751220703
1590421390.2710476,151,-92.3983154296875
1590421428.0808978,156,-67.44281768798828
1590421450.2645993,159,-71.00782775878906
1590421518.8978782,168,-68.7276840209961
1590421633.1596234,179,-62.040042877197266
1590421669.5436828,184,-33.083404541015625
1590421685.650212,186,-87.79988861083984
1590421693.5458992,187,-73.23722076416016
1590421723.8757432,191,-77.27854919433594
1590421788.9537,199,-83.23426055908203
1590421875.5454807,207,-67.3882827758789
1590421883.1422188,208,-57.74466323852539
1590421922.0568354,213,-71.26519012451172
1590422004.5889611,224,-54.20480728149414
1590422070.2891357,230,-66.99562072753906
1590422109.882731,235,-78.41588592529297
1590422227.4150674,250,-61.166873931884766
1590422294.7463343,256,-59.43998718261719
1590422330.9113276,261,-72.67414855957031
1590422385.6546104,268,-101.58800506591797
1590422416.8279629,272,-68.38703155517578
1590422430.6773045,274,-58.806182861328125
1590422593.125446,293,-70.09602355957031
1590422634.404882,298,-134.98072814941406
1590422705.5056934,304,-69.41984558105469
1590422742.811416,309,-46.81747817993164
1590422757.5359414,311,-61.7044792175293
1590422818.4623702,319,-73.40267944335938
1590422824.963004,320,-43.05852508544922
1590422935.5124059,331,-71.54364776611328
1590423006.565845,340,-54.1370849609375
1590423070.79349,348,-77.33976745605469
1590423226.7872334,364,-91.7604751586914
1590423257.1699274,368,-62.34099578857422
1590423360.668566,378,-57.699058532714844
1590423708.9115663,422,-65.17164611816406
1590423716.9861073,423,-101.50850677490234
1590423864.9398592,440,-78.51187896728516
1590423879.3852956,442,-86.41020965576172
1590423886.7509005,443,-57.03654861450195
1590423908.1205263,446,-46.419715881347656
1590423973.167697,452,-55.1553840637207
1590424041.7594094,461,-59.38280487060547
1590424063.4464514,464,-64.71485900878906
1590424070.7908182,465,-60.70351791381836
1590424145.2438188,475,-43.920204162597656
1590424290.777768,492,-66.28565216064453
1590424304.4357564,494,-56.33482360839844
1590424460.9142513,513,-51.78863525390625
1590424476.888022,515,-82.92584991455078
1590424498.662018,518,-43.4815673828125
1590424574.8661256,526,-74.54390716552734
1590424618.1106913,532,-51.06420135498047
1590424632.5536811,534,-46.872406005859375
1590424653.7333343,537,-44.02696990966797
1590424693.1469424,543,-34.11646270751953
1590424726.05631,548,-28.93910026550293
1590424814.0174327,558,-47.504695892333984
1590424855.4183517,564,-50.922000885009766
1590424900.9709344,570,-72.97610473632812
1590424936.3006246,574,-130.677001953125
1590425009.3328748,580,-55.86106872558594
1590425024.8773549,582,-62.73710632324219
1590425047.304283,585,-60.1378059387207
1590425061.8407984,587,-56.40380096435547
1590425069.0946803,588,-57.68545913696289
1590425105.3092585,593,-41.75986099243164
1590425112.5441928,594,-47.63748550415039
1590425196.7702806,603,-49.90229415893555
1590425316.0085363,621,-30.993743896484375
1590425329.2513037,623,-42.36160659790039
1590425427.3871512,635,-38.841522216796875
1590425475.529467,642,-54.01314926147461
1590425481.8879223,643,-35.27051544189453
1590425495.5338302,645,-46.28947067260742
1590425515.5308104,648,-39.1484260559082
1590425529.2237484,650,-57.759578704833984
1590425630.936496,662,-49.37523651123047
1590425651.0942385,665,-37.50755310058594
1590425676.1055005,669,-29.107831954956055
1590425694.836624,672,-35.40681457519531
1590425713.682392,675,-33.945892333984375
1590425757.5571523,679,-33.94797897338867
1590425763.5002582,680,-24.795974731445312
1590425788.5226164,684,-38.31564712524414
1590425819.5605297,689,-30.125804901123047
1590426007.776286,715,-37.43123245239258
1590426033.3135521,719,-31.171497344970703
1590426058.8889337,723,-29.907323837280273
1590426065.496216,724,-39.663822174072266
1590426134.3733523,731,-54.48897933959961
1590426199.0018916,740,-43.168949127197266
1590426224.1425672,744,-29.03185272216797
1590426250.881569,748,-30.802993774414062
1590426302.454751,753,-33.72002410888672
1590426328.738428,757,-30.60520362854004
1590426387.0156567,766,-32.65049743652344
1590426411.5439491,770,-27.270973205566406
1590426418.4870374,771,-43.292537689208984
1590426424.8516595,772,-33.11536407470703
1590426437.477833,774,-31.345659255981445
1590426444.4953184,775,-49.216392517089844
