Wall time,Step,Value
1592122581.5788493,6,-228.10809326171875
1592122734.8443937,19,-181.9306182861328
1592122807.578285,25,-165.96145629882812
1592123040.8441377,41,-146.13648986816406
1592123065.6441534,43,-187.46620178222656
1592123101.0513659,46,-137.64346313476562
1592123237.6859016,54,-195.52725219726562
1592123275.3492005,57,-193.76800537109375
1592123458.4691706,72,-163.92623901367188
1592123495.0932355,75,-155.31674194335938
1592123777.4061308,95,-138.20310974121094
1592123908.3921292,103,-160.98118591308594
1592123945.6224427,106,-146.32424926757812
1592123957.2962806,107,-142.54454040527344
1592124037.4859395,114,-165.2282257080078
1592124221.2109985,127,-169.24864196777344
1592124372.42752,140,-129.5686798095703
1592124517.7869325,151,-199.67958068847656
1592124555.728955,156,-199.67958068847656
1592124578.459052,159,-199.67958068847656
1592124646.940529,168,-199.67958068847656
1592124753.9206645,179,-199.67958068847656
1592124792.946492,184,-199.67958068847656
1592124808.0586486,186,-199.67958068847656
1592124815.6798472,187,-199.67958068847656
1592124845.820966,191,-199.6845703125
1592124906.3438246,199,-199.67958068847656
1592124992.3500152,207,-199.67958068847656
1592124999.8428462,208,-199.67958068847656
1592125038.448623,213,-199.67958068847656
1592125121.608923,224,-199.67958068847656
1592125189.4005542,230,-199.67958068847656
1592125226.7885065,235,-199.67958068847656
1592125339.5883086,250,-199.67958068847656
1592125406.9499068,256,-199.67958068847656
1592125446.427622,261,-234.49700927734375
1592125499.2424166,268,-199.67958068847656
1592125529.4062326,272,-199.67958068847656
1592125544.2168317,274,-199.67958068847656
1592125710.1474123,293,-199.67958068847656
1592125747.5855484,298,-199.67958068847656
1592125815.3335452,304,-199.67958068847656
1592125853.2937336,309,-199.67958068847656
1592125868.124296,311,-199.67958068847656
1592125928.3013766,319,-199.67958068847656
1592125935.7197282,320,-199.67958068847656
1592126041.1579943,331,-199.67958068847656
1592126109.1696393,340,-199.67958068847656
1592126168.9587815,348,-199.67958068847656
1592127122.186836,364,-150.1645050048828
1592127170.838693,368,-172.33070373535156
1592127348.6739266,378,-174.09967041015625
1592128012.5627987,422,-212.0404052734375
1592128026.1620772,423,-223.99560546875
1592128304.770042,440,-191.349609375
1592128333.7325346,442,-219.64930725097656
1592128347.5459905,443,-218.4437255859375
1592128389.5002859,446,-224.53233337402344
1592128512.9899,452,-194.939697265625
1592128637.2451482,461,-216.3423614501953
1592128679.005406,464,-212.28146362304688
1592128693.00984,465,-204.0543670654297
1592128833.615429,475,-187.96058654785156
1592129115.0569994,492,-221.91786193847656
1592129142.4128244,494,-224.98585510253906
1592129449.7942152,513,-201.84120178222656
1592129477.5415542,515,-166.70663452148438
1592129519.941481,518,-180.39149475097656
1592129672.5292442,526,-220.36219787597656
1592129754.8717413,532,-196.43701171875
1592129783.2977102,534,-209.70516967773438
1592129824.974588,537,-199.62879943847656
1592129909.07763,543,-180.60227966308594
1592129979.5210338,548,-183.12892150878906
1592130160.2833626,558,-193.01490783691406
1592130244.4589772,564,-218.193359375
1592130327.7828155,570,-212.21292114257812
1592130382.377311,574,-218.02545166015625
1592130505.6440995,580,-217.71678161621094
1592130533.4803157,582,-213.80474853515625
1592130575.365266,585,-205.32618713378906
1592130603.8739378,587,-207.06900024414062
1592130617.5006528,588,-209.6200408935547
1592130687.3336105,593,-213.17910766601562
1592130701.314574,594,-217.0552978515625
1592130867.7032359,603,-207.48985290527344
1592131051.1903214,616,-212.61300659179688
1592131121.7372932,621,-202.93394470214844
1592131150.123444,623,-204.309326171875
1592131364.4844713,635,-177.00489807128906
1592131465.9207997,642,-154.13284301757812
1592131480.292207,643,-134.19480895996094
1592131509.2908506,645,-157.22727966308594
1592131553.64758,648,-157.33460998535156
1592131582.3760443,650,-150.326416015625
1592131793.6426091,662,-153.5530242919922
1592131837.9716828,665,-173.85400390625
1592131894.7817273,669,-118.20182800292969
1592131938.2284024,672,-149.34242248535156
1592131981.1829834,675,-100.460205078125
1592132080.8785331,679,-99.1882095336914
1592132094.7282767,680,-112.0789794921875
1592132152.0239015,684,-153.77809143066406
1592132223.3179147,689,-150.96365356445312
