Wall time,Step,Value
1608793387.7468843,1,-93.6546859741211
1608793396.3365986,2,-89.48486328125
1608793404.4332228,3,-85.26978302001953
1608793412.8301234,4,-86.33788299560547
1608793420.5239918,5,-76.93043518066406
1608793428.721273,6,-74.05036163330078
1608793436.4266095,7,-73.11963653564453
1608793443.4353602,8,-51.465911865234375
1608793450.9633033,9,-56.02758026123047
1608793457.7908762,10,-44.95064926147461
1608793465.346693,11,-62.89513397216797
1608793473.6904964,12,-78.27001190185547
1608793482.2253785,13,-67.20944213867188
1608793490.0591767,14,-61.84075164794922
1608793496.7402742,15,-36.05656433105469
1608793504.9944503,16,-68.22850036621094
1608793513.0821373,17,-55.022823333740234
1608793520.0607362,18,-42.86338424682617
1608793527.557308,19,-62.00212860107422
1608793536.081973,20,-70.96778869628906
1608793567.7295465,21,-63.91790008544922
1608793574.0653315,22,-39.41282653808594
1608793582.157706,23,-82.51092529296875
1608793589.454864,24,-56.946754455566406
1608793596.5122037,25,-51.914485931396484
1608793603.4389665,26,-54.597930908203125
1608793611.6133788,27,-67.9329833984375
1608793619.387842,28,-64.21167755126953
1608793627.1227086,29,-58.3770866394043
1608793633.4253142,30,-40.38569641113281
1608793641.4493625,31,-81.85618591308594
1608793649.9791384,32,-67.42449188232422
1608793657.4427383,33,-46.892086029052734
1608793665.0007453,34,-52.59160614013672
1608793671.6420193,35,-44.03935241699219
1608793679.0284624,36,-52.65265655517578
1608793686.0256534,37,-49.87432098388672
1608793692.4339154,38,-37.74195861816406
1608793698.5366426,39,-35.637691497802734
1608793705.2448835,40,-40.150516510009766
1608793734.5026252,41,-38.45182800292969
1608793741.6934009,42,-52.06197738647461
1608793748.456682,43,-41.176815032958984
1608793754.9598324,44,-36.154808044433594
1608793761.726625,45,-39.69868850708008
1608793768.322019,46,-27.859588623046875
1608793774.9260921,47,-35.183937072753906
1608793781.9825144,48,-46.916568756103516
1608793788.4946759,49,-33.244598388671875
1608793794.8186452,50,-25.372203826904297
1608793801.1972919,51,-26.18832015991211
1608793807.5155632,52,-25.57790756225586
1608793813.7688022,53,-27.181888580322266
1608793820.6792471,54,-47.80880355834961
1608793827.1825879,55,-29.035966873168945
1608793833.1516285,56,-24.30286979675293
1608793839.051394,57,-25.57979965209961
1608793845.396467,58,-30.907150268554688
1608793851.2298012,59,-22.604324340820312
1608793857.0974865,60,-20.381322860717773
1608793880.96963,61,-19.478801727294922
1608793886.7954605,62,-18.9755802154541
1608793892.6030724,63,-20.374502182006836
1608793898.6791294,64,-22.843183517456055
1608793904.1379814,65,-14.922411918640137
1608793909.6601918,66,-16.698637008666992
1608793915.0688658,67,-17.195457458496094
1608793920.4278219,68,-16.09694480895996
1608793925.9678109,69,-14.318229675292969
1608793931.085072,70,-13.06710433959961
1608793936.4911578,71,-16.05613899230957
1608793941.6950564,72,-13.84201431274414
1608793946.9813335,73,-14.818415641784668
1608793952.2623446,74,-12.617300987243652
1608793957.4848173,75,-13.689607620239258
1608793962.7826788,76,-12.56210994720459
1608793968.1862335,77,-12.46335506439209
1608793973.5535622,78,-13.543082237243652
1608793978.6414666,79,-11.139113426208496
1608793983.9965134,80,-11.780659675598145
1608794006.2373338,81,-13.359057426452637
1608794011.5287623,82,-10.884333610534668
1608794016.7722414,83,-11.162941932678223
1608794022.0730083,84,-9.917880058288574
1608794027.4222398,85,-10.512582778930664
1608794032.6179266,86,-10.105483055114746
1608794037.8388333,87,-9.744430541992188
1608794043.3753693,88,-10.884451866149902
1608794048.6117039,89,-9.305967330932617
1608794053.7693274,90,-9.383533477783203
1608794059.0172215,91,-11.035933494567871
1608794064.3250782,92,-11.974769592285156
1608794069.5474126,93,-9.406100273132324
1608794074.777903,94,-8.135671615600586
1608794079.8311825,95,-9.15108585357666
1608794085.0917351,96,-10.82511043548584
1608794090.1969724,97,-9.74473762512207
1608794095.2065048,98,-6.791862487792969
1608794100.312872,99,-8.877117156982422
1608794105.5433125,100,-7.752232074737549
1608794126.6583238,101,-8.289112091064453
1608794131.6525455,102,-9.27963924407959
1608794136.7443202,103,-9.18397045135498
1608794141.7874053,104,-8.312439918518066
1608794146.9028401,105,-9.289525985717773
1608794151.9545014,106,-9.518725395202637
1608794156.9675393,107,-7.586962699890137
1608794161.9574072,108,-7.948735237121582
1608794167.0372717,109,-8.62293815612793
1608794172.2407703,110,-8.242318153381348
1608794177.3360987,111,-9.30984878540039
1608794182.3406498,112,-9.045256614685059
1608794187.2362027,113,-6.943014144897461
1608794192.2898142,114,-8.553634643554688
1608794197.3724196,115,-8.532463073730469
1608794202.3649251,116,-8.581819534301758
1608794207.4391923,117,-8.241996765136719
1608794212.5367348,118,-9.685650825500488
1608794217.4647388,119,-7.364670276641846
1608794222.5640955,120,-6.702620506286621
1608794243.7381938,121,-8.203666687011719
1608794248.8798733,122,-8.591704368591309
1608794253.850119,123,-6.104676723480225
1608794258.8746893,124,-7.497925281524658
1608794263.88606,125,-6.731370449066162
1608794269.000675,126,-7.239534378051758
1608794274.1761644,127,-7.903675079345703
1608794279.2177145,128,-7.149768352508545
1608794284.3289282,129,-6.505096435546875
1608794289.4261575,130,-8.242588996887207
1608794294.2200422,131,-6.011253356933594
1608794299.0970585,132,-6.830301761627197
1608794304.1849723,133,-5.58155632019043
1608794308.997494,134,-5.904646396636963
1608794314.0298207,135,-6.582755088806152
1608794319.0312388,136,-8.19717025756836
1608794323.8214417,137,-6.332979679107666
1608794328.6236007,138,-5.444723606109619
1608794333.4031165,139,-5.367937088012695
1608794338.1341298,140,-5.8808722496032715
1608794358.7691936,141,-6.631547927856445
1608794363.6351671,142,-7.426709175109863
1608794368.6643436,143,-6.440354347229004
1608794373.5641313,144,-5.927907466888428
1608794378.3205404,145,-6.384180068969727
1608794383.171875,146,-7.2613749504089355
1608794387.976348,147,-6.225466251373291
1608794392.7977464,148,-6.3359880447387695
1608794397.5592477,149,-6.3719377517700195
1608794402.4925241,150,-7.8261027336120605
1608794407.3905137,151,-7.145013332366943
1608794412.1491458,152,-5.957038879394531
1608794416.7794712,153,-5.6919779777526855
1608794421.3830988,154,-4.862752437591553
1608794426.1345358,155,-6.185437202453613
1608794430.9325776,156,-5.4604010581970215
1608794435.8523922,157,-7.050961494445801
1608794440.6082888,158,-6.186988830566406
1608794445.437474,159,-7.102998733520508
1608794450.1179597,160,-5.922055244445801
1608794470.3113708,161,-6.939611911773682
1608794475.0260327,162,-5.6290130615234375
1608794479.605472,163,-5.847048282623291
1608794484.3244162,164,-5.376580238342285
1608794489.0491097,165,-5.991669654846191
1608794493.7831113,166,-6.533907413482666
1608794498.5742996,167,-5.620391845703125
1608794503.293025,168,-6.1345534324646
1608794508.1180384,169,-6.278234481811523
1608794512.5896528,170,-4.732856273651123
1608794517.3842814,171,-6.2249579429626465
1608794522.255973,172,-6.293622970581055
1608794527.0076194,173,-5.873846530914307
1608794531.6632183,174,-5.007604598999023
1608794536.3093193,175,-5.309692859649658
1608794541.012833,176,-5.776647090911865
1608794545.7174532,177,-6.038740634918213
1608794550.563081,178,-4.6169352531433105
1608794555.600949,179,-4.94271183013916
1608794560.6410923,180,-5.432365894317627
1608794580.585845,181,-4.520050525665283
1608794585.3969104,182,-4.841079235076904
1608794590.2902904,183,-6.415301322937012
1608794595.0284863,184,-5.295772075653076
1608794599.7844996,185,-4.819369792938232
1608794604.5510147,186,-6.001197814941406
1608794609.3557045,187,-5.248795032501221
1608794614.1837983,188,-5.155143737792969
1608794618.8316836,189,-4.851003170013428
