Wall time,Step,Value
1608796361.3127475,600,-225.0918731689453
1608796399.5544317,1200,-225.0918731689453
1608796438.5136619,1800,-225.0918731689453
1608796476.6550534,2400,-197.15689086914062
1608796515.296815,3000,-172.73501586914062
1608796555.7716825,3600,-172.73501586914062
1608796595.5705981,4200,-172.73501586914062
1608796634.191662,4800,-153.74554443359375
1608796674.229807,5400,-153.74554443359375
1608796713.6746852,6000,-153.74554443359375
1608796744.4319477,6600,-153.74554443359375
1608796768.5960224,7200,-131.41683959960938
1608796792.1271937,7800,-116.58626556396484
1608796815.4594078,8400,-103.5435562133789
1608796842.1933122,9000,-78.00579833984375
1608796871.6241474,9600,-70.40735626220703
1608796900.4792647,10200,-58.47010040283203
1608796929.2625105,10800,-52.201107025146484
1608796960.243215,11400,-45.62699508666992
1608796988.5391269,12000,-44.13614273071289
1608797015.5969946,12600,-39.83460998535156
1608797044.7680109,13200,-35.492164611816406
1608797073.3017163,13800,-35.492164611816406
1608797105.3152676,14400,-35.492164611816406
1608797132.4824262,15000,-34.0406608581543
1608797160.3469028,15600,-33.30781936645508
1608797191.628504,16200,-31.057735443115234
1608797222.3743706,16800,-31.057735443115234
1608797250.7049422,17400,-30.358097076416016
1608797277.4691212,18000,-28.6683349609375
1608797307.6621706,18600,-28.6683349609375
1608797341.1342065,19200,-27.63005256652832
1608797367.5346324,19800,-22.30555534362793
1608797393.1421115,20400,-22.30555534362793
1608797419.3289611,21000,-21.105636596679688
1608797450.8338912,21600,-21.105636596679688
1608797478.3365896,22200,-21.105636596679688
1608797503.7081518,22800,-20.655704498291016
1608797531.5336487,23400,-20.655704498291016
1608797556.8026752,24000,-14.982301712036133
1608797582.817038,24600,-14.982301712036133
1608797607.2543018,25200,-14.982301712036133
1608797632.5319626,25800,-14.982301712036133
1608797657.9110882,26400,-14.982301712036133
1608797684.0205371,27000,-14.542675018310547
1608797709.996577,27600,-14.542675018310547
1608797738.9627454,28200,-14.063801765441895
1608797767.0738442,28800,-12.058073043823242
1608797792.2596714,29400,-12.058073043823242
1608797821.493521,30000,-12.058073043823242
1608797855.4874864,30600,-12.058073043823242
1608797903.6463883,31200,-12.058073043823242
1608797947.956756,31800,-12.058073043823242
1608797989.3534274,32400,-12.058073043823242
1608798031.182518,33000,-12.058073043823242
1608798076.9118369,33600,-11.919967651367188
1608798120.4158616,34200,-11.919967651367188
1608798163.9368691,34800,-11.404258728027344
1608798203.2375965,35400,-10.818035125732422
