Wall time,Step,Value
1608724653.9748955,600,-86.42478942871094
1608724677.154779,1200,-91.98236846923828
1608724701.13313,1800,-91.45216369628906
1608724724.9717777,2400,-91.5526351928711
1608724749.7448254,3000,-89.58909606933594
1608724773.1338227,3600,-87.89476013183594
1608724795.9344296,4200,-85.646240234375
1608724816.9861925,4800,-83.60372924804688
1608724837.8065073,5400,-80.48912048339844
1608724862.62978,6000,-78.22335052490234
1608724885.7573047,6600,-76.72035217285156
1608724909.4197724,7200,-74.91859436035156
1608724932.8091059,7800,-73.16657257080078
1608724954.450219,8400,-71.45303344726562
1608724976.013812,9000,-69.3765869140625
1608724997.7850773,9600,-68.34446716308594
1608725019.698314,10200,-67.80156707763672
1608725040.646966,10800,-67.156494140625
1608725062.6438422,11400,-66.45498657226562
1608725084.001849,12000,-65.12008666992188
1608725105.4444108,12600,-64.09627532958984
1608725124.8356647,13200,-62.81684112548828
1608725146.1843925,13800,-62.055206298828125
1608725167.9654088,14400,-61.3962287902832
1608725187.9642286,15000,-60.568965911865234
1608725209.2605102,15600,-59.48015594482422
1608725228.9891987,16200,-58.39273452758789
1608725248.8236105,16800,-57.47524642944336
1608725268.8973472,17400,-56.3939323425293
1608725287.9840226,18000,-55.27099609375
1608725307.6896093,18600,-54.33679962158203
1608725325.957651,19200,-53.35294723510742
1608725344.9573507,19800,-52.39919662475586
1608725364.1096091,20400,-50.946495056152344
1608725382.8190882,21000,-48.845863342285156
1608725402.631629,21600,-46.466434478759766
1608725421.2020614,22200,-44.35116195678711
1608725439.672882,22800,-42.13118362426758
1608725457.7103076,23400,-40.186676025390625
1608725476.1610281,24000,-38.66155242919922
1608725493.877439,24600,-37.042659759521484
1608725512.0982847,25200,-35.58333206176758
1608725531.2815387,25800,-34.27680587768555
1608725549.8199131,26400,-32.80427932739258
1608725568.478227,27000,-31.666194915771484
1608725587.0239847,27600,-30.461145401000977
1608725604.5637968,28200,-29.4594669342041
1608725622.4995582,28800,-28.321643829345703
1608725640.3326762,29400,-27.378925323486328
1608725657.7216895,30000,-25.877595901489258
1608725675.2329075,30600,-24.61687469482422
1608725692.978336,31200,-23.250001907348633
