Wall time,Step,Value
1609408660.374163,200,-175.0927734375
1609408686.793827,400,-178.86659240722656
1609408713.494669,600,-185.9278564453125
1609408738.437448,800,-177.30381774902344
1609408764.3985865,1000,-175.45921325683594
1609408790.3244884,1200,-175.005859375
1609408816.2399418,1400,-169.899658203125
1609408842.754943,1600,-167.82330322265625
1609408869.2264442,1800,-168.64352416992188
1609408895.62156,2000,-166.93226623535156
1609408921.511835,2200,-162.83889770507812
1609408948.5613594,2400,-161.3788604736328
1609408972.6786866,2600,-156.781494140625
1609408997.122711,2800,-153.04620361328125
1609409022.7293422,3000,-151.0790557861328
1609409047.1023254,3200,-147.68630981445312
1609409072.044606,3400,-146.79202270507812
1609409101.6298914,3600,-150.03887939453125
1609409124.8875067,3800,-147.71109008789062
1609409150.8946857,4000,-147.82101440429688
1609409175.6584897,4200,-147.429931640625
1609409199.7809672,4400,-146.4302978515625
1609409225.327132,4600,-146.32247924804688
1609409251.073524,4800,-145.86810302734375
1609409278.0425575,5000,-146.4590606689453
1609409304.3003395,5200,-146.9954833984375
1609409333.8804066,5400,-149.8712921142578
1609409360.548409,5600,-149.37240600585938
1609409383.8579304,5800,-148.0129852294922
1609409410.775326,6000,-148.42457580566406
1609409436.6610527,6200,-148.45399475097656
1609409461.4097464,6400,-147.47373962402344
1609409486.469843,6600,-146.881591796875
1609409512.5903635,6800,-146.42185974121094
1609409538.4589224,7000,-146.30946350097656
1609409564.8183289,7200,-146.18240356445312
1609409590.7859764,7400,-146.19325256347656
1609409617.2454886,7600,-145.85887145996094
1609409641.186886,7800,-144.92501831054688
1609409669.0985973,8000,-146.53079223632812
1609409693.5535417,8200,-146.1737823486328
1609409723.5408316,8400,-147.14158630371094
1609409754.1178029,8600,-147.96495056152344
1609409782.776697,8800,-148.2100830078125
1609409810.0154061,9000,-148.6680908203125
1609409836.8119771,9200,-149.36634826660156
1609409863.219699,9400,-149.2554168701172
1609409895.24236,9600,-150.72537231445312
1609409922.30179,9800,-150.80328369140625
1609409947.0347703,10000,-150.33116149902344
1609409973.5516245,10200,-150.993408203125
1609409997.6082332,10400,-150.31777954101562
1609410021.2885408,10600,-149.53826904296875
1609410047.320612,10800,-149.20401000976562
1609410071.9483473,11000,-148.53274536132812
1609410095.4966943,11200,-147.70083618164062
1609410117.9450316,11400,-146.6502227783203
1609410140.3263495,11600,-145.35023498535156
1609410162.6802278,11800,-144.2561798095703
1609410185.633535,12000,-143.30313110351562
1609410209.3349276,12200,-142.6604461669922
1609410232.3718953,12400,-141.8750457763672
1609410254.185557,12600,-140.8243408203125
1609410276.3383157,12800,-139.98629760742188
1609410297.8023605,13000,-138.98033142089844
1609410317.4033186,13200,-137.6544189453125
1609410336.8316057,13400,-136.34178161621094
1609410357.8973744,13600,-135.37916564941406
1609410378.4217284,13800,-134.31222534179688
1609410399.4951882,14000,-133.20913696289062
1609410419.4106386,14200,-132.07630920410156
1609410438.5263343,14400,-130.8431396484375
1609410458.973225,14600,-129.71705627441406
1609410478.408374,14800,-128.55850219726562
1609410497.6187255,15000,-127.4029769897461
1609410517.2199008,15200,-126.26514434814453
1609410535.8799644,15400,-125.15412139892578
1609410554.7142937,15600,-124.0547103881836
1609410573.2495751,15800,-122.93929290771484
1609410591.892789,16000,-121.8916244506836
1609410610.2091067,16200,-120.8072738647461
1609410627.8446794,16400,-119.71038055419922
1609410646.8255162,16600,-118.69261932373047
1609410666.4044247,16800,-117.71932220458984
1609410685.0101547,17000,-116.74824523925781
1609410704.030567,17200,-115.73499298095703
1609410721.693465,17400,-114.72236633300781
1609410739.6761534,17600,-113.69586181640625
1609410758.1546955,17800,-112.7514877319336
1609410775.8437371,18000,-111.794677734375
1609410794.5272517,18200,-110.88947296142578
1609410812.2661061,18400,-109.98418426513672
1609410830.5821757,18600,-109.10240173339844
1609410849.0027628,18800,-108.25121307373047
1609410866.591153,19000,-107.38938903808594
1609410884.8411744,19200,-106.54537963867188
1609410902.2839115,19400,-105.71375274658203
1609410919.651507,19600,-104.86985778808594
1609410937.542256,19800,-104.04986572265625
1609410955.0408728,20000,-103.22575378417969
1609410972.6037881,20200,-101.7084732055664
1609410989.9435065,20400,-100.10065460205078
1609411007.9292514,20600,-98.32299041748047
1609411025.5733573,20800,-97.029541015625
1609411042.9029658,21000,-95.59805297851562
1609411061.107798,21200,-94.11531066894531
1609411078.218035,21400,-92.93238067626953
1609411095.6174233,21600,-91.60301208496094
1609411112.9606369,21800,-90.05941772460938
1609411130.5894158,22000,-88.7530517578125
1609411148.0927374,22200,-87.7490234375
1609411165.3009362,22400,-86.48902893066406
1609411183.2649992,22600,-85.68618774414062
1609411200.7919595,22800,-84.82556915283203
1609411218.7731097,23000,-83.78556823730469
1609411236.4752064,23200,-83.01605987548828
1609411254.1341357,23400,-81.89404296875
1609411271.7166946,23600,-80.02922058105469
1609411288.4461987,23800,-79.15133666992188
1609411305.480744,24000,-77.83592224121094
1609411322.2404919,24200,-76.62362670898438
1609411339.675575,24400,-75.55545806884766
1609411357.616819,24600,-74.31843566894531
1609411374.2230172,24800,-73.15190124511719
1609411391.3809903,25000,-71.7248764038086
1609411408.7703524,25200,-70.31827545166016
1609411426.2184377,25400,-68.25162506103516
1609411443.8658938,25600,-67.09249114990234
1609411460.3913865,25800,-66.15572357177734
1609411478.0982244,26000,-64.73358917236328
1609411495.4155693,26200,-63.402244567871094
1609411512.9800706,26400,-62.42184829711914
1609411529.7337103,26600,-61.30366516113281
1609411547.1032088,26800,-60.17725372314453
1609411564.5168884,27000,-58.924800872802734
1609411581.1246247,27200,-57.6929931640625
1609411597.5346003,27400,-56.35919952392578
1609411614.8250763,27600,-55.20387649536133
1609411631.866731,27800,-54.262874603271484
1609411648.601032,28000,-52.32671356201172
1609411665.4551625,28200,-51.15713882446289
1609411681.855623,28400,-49.46109390258789
1609411699.4096525,28600,-47.792335510253906
1609411716.3045769,28800,-46.37881088256836
1609411732.9132638,29000,-44.84343719482422
1609411750.730378,29200,-43.20493698120117
1609411766.782621,29400,-41.883853912353516
1609411783.4004655,29600,-39.821258544921875
1609411799.234254,29800,-38.395626068115234
1609411815.5492134,30000,-37.256690979003906
1609411831.1499634,30200,-35.54746627807617
1609411847.492405,30400,-34.53348922729492
1609411863.3333344,30600,-33.57329559326172
1609411879.097928,30800,-32.39487075805664
1609411895.2676551,31000,-31.41448402404785
1609411910.8270738,31200,-30.521198272705078
1609411927.4365606,31400,-29.807470321655273
1609411943.133661,31600,-29.243606567382812
1609411959.0054815,31800,-28.5708065032959
1609411974.7935414,32000,-27.834413528442383
1609411990.3271189,32200,-26.92203712463379
1609412005.888707,32400,-26.110260009765625
1609412021.740029,32600,-25.494342803955078
1609412036.9508924,32800,-24.746938705444336
1609412052.4844239,33000,-24.12840461730957
1609412068.1765668,33200,-23.754146575927734
1609412083.9449625,33400,-23.380008697509766
1609412099.3926616,33600,-22.79916763305664
1609412114.4809053,33800,-22.27880096435547
1609412129.8168917,34000,-21.827423095703125
1609412145.1970696,34200,-21.410755157470703
1609412160.9153774,34400,-21.12701988220215
1609412176.5402467,34600,-20.750507354736328
1609412191.6046827,34800,-20.414060592651367
1609412207.5127058,35000,-20.142757415771484
1609412222.5297961,35200,-19.83909034729004
1609412238.201666,35400,-19.558305740356445
1609412253.6324875,35600,-19.28931427001953
1609412269.166002,35800,-19.052085876464844
1609412284.6844714,36000,-18.79351806640625
1609412299.9466476,36200,-18.570100784301758
1609412315.7767718,36400,-18.388561248779297
1609412330.9092836,36600,-18.168691635131836
1609412345.9402173,36800,-17.906147003173828
1609412360.9249253,37000,-17.65624237060547
1609412376.0888927,37200,-17.456588745117188
1609412391.0412621,37400,-17.280803680419922
1609412406.3572626,37600,-17.141794204711914
1609412421.0544932,37800,-16.946155548095703
1609412436.3218093,38000,-16.78311538696289
1609412450.1746316,38200,-16.588205337524414
1609412462.6833336,38400,-16.409408569335938
1609412475.1033742,38600,-16.2194766998291
1609412485.871545,38800,-16.02120018005371
1609412497.0659792,39000,-15.861431121826172
1609412507.988348,39200,-15.685905456542969
1609412518.7013843,39400,-15.525575637817383
1609412529.586136,39600,-15.393290519714355
1609412540.2264426,39800,-15.248682022094727
1609412550.6754806,40000,-15.127359390258789
