Wall time,Step,Value
1609677385.6374784,1,-224.10836791992188
1609677402.3810027,2,-166.02935791015625
1609677419.97961,3,-136.3819122314453
1609677440.5165598,4,-162.52590942382812
1609677458.692037,5,-121.39547729492188
1609677478.6694622,6,-164.42660522460938
1609677498.292165,7,-154.80482482910156
1609677516.5554624,8,-132.9200897216797
1609677536.455962,9,-159.10707092285156
1609677555.098062,10,-136.6151885986328
1609677574.0273485,11,-146.77896118164062
1609677594.7152956,12,-156.81005859375
1609677613.8508313,13,-145.53892517089844
1609677632.451927,14,-128.55758666992188
1609677650.0763679,15,-121.1527328491211
1609677667.300961,16,-104.610107421875
1609677684.7303472,17,-106.45377349853516
1609677700.609216,18,-89.34465026855469
1609677719.6414773,19,-135.5987548828125
1609677736.1582763,20,-89.6244888305664
1609677752.7914767,21,-88.90216064453125
1609677767.4626796,22,-72.3360595703125
1609677783.905798,23,-97.37100982666016
1609677798.8003752,24,-70.5504150390625
1609677812.9624217,25,-58.92804718017578
1609677826.8601003,26,-59.579349517822266
1609677840.575746,27,-51.719791412353516
1609677853.405402,28,-39.730499267578125
1609677865.7218401,29,-33.19696807861328
1609677877.7949696,30,-34.385498046875
1609677889.6345227,31,-31.835641860961914
1609677901.8225305,32,-29.484140396118164
1609677913.42734,33,-25.744876861572266
1609677925.1292696,34,-24.67705726623535
1609677936.5311444,35,-23.911312103271484
1609677946.971546,36,-22.327136993408203
1609677957.7414172,37,-26.04852294921875
1609677968.0073354,38,-22.102571487426758
1609677978.470768,39,-24.83855438232422
1609677988.6299314,40,-17.755170822143555
1609677998.671937,41,-22.226652145385742
1609678008.559808,42,-20.394001007080078
1609678018.7169843,43,-20.874717712402344
1609678028.53775,44,-19.22455406188965
1609678037.5341415,45,-19.124921798706055
1609678046.1114688,46,-22.1827335357666
1609678054.5138063,47,-19.562070846557617
1609678062.8576412,48,-20.473703384399414
1609678071.100686,49,-19.718788146972656
1609678079.310841,50,-20.379297256469727
1609678087.6304526,51,-22.65091323852539
1609678095.8046625,52,-20.46842384338379
1609678104.1383917,53,-18.89139747619629
1609678112.2041903,54,-19.474700927734375
1609678120.1494992,55,-18.265241622924805
1609678127.8237495,56,-15.190680503845215
