Wall time,Step,Value
1609663752.8128004,200,-186.72254943847656
1609663785.9585276,400,-175.73036193847656
1609663824.8660293,600,-184.2607879638672
1609663857.3119824,800,-183.48663330078125
1609663890.9962382,1000,-181.601806640625
1609663923.0166678,1200,-181.3961639404297
1609663956.9289472,1400,-180.6849365234375
1609663991.2384942,1600,-180.14039611816406
1609664026.4380083,1800,-180.72886657714844
1609664059.8236601,2000,-179.14852905273438
1609664092.3256788,2200,-177.6258087158203
1609664124.243594,2400,-176.7957000732422
1609664157.1958613,2600,-175.55714416503906
1609664190.9455926,2800,-174.59153747558594
1609664224.4844139,3000,-173.78958129882812
1609664260.1388304,3200,-173.52725219726562
1609664293.2335744,3400,-173.9158172607422
1609664325.7677925,3600,-172.5435791015625
1609664361.701797,3800,-172.29669189453125
1609664397.2418494,4000,-173.6313018798828
1609664430.1825886,4200,-174.60357666015625
1609664464.5157936,4400,-174.5612030029297
1609664498.2680316,4600,-174.43841552734375
1609664532.1063204,4800,-173.9385528564453
1609664567.339624,5000,-173.99053955078125
1609664602.9661999,5200,-174.2914276123047
1609664636.556911,5400,-174.66403198242188
1609664670.4579222,5600,-175.2029571533203
1609664703.3075902,5800,-174.50830078125
1609664738.1729915,6000,-174.76919555664062
1609664772.938473,6200,-175.33937072753906
1609664806.964806,6400,-175.67852783203125
1609664838.6717494,6600,-175.00413513183594
1609664872.293616,6800,-174.58895874023438
1609664906.490651,7000,-174.64706420898438
1609664938.936748,7200,-174.32286071777344
1609664971.3299918,7400,-174.1650390625
1609665005.572221,7600,-174.0395965576172
1609665039.9993508,7800,-173.74249267578125
1609665075.4707334,8000,-173.3903045654297
1609665108.5931184,8200,-173.2239990234375
1609665141.354278,8400,-173.2271728515625
1609665174.9342852,8600,-173.2881622314453
1609665207.8561645,8800,-173.51524353027344
1609665240.8007677,9000,-172.93287658691406
1609665276.1161907,9200,-172.92955017089844
1609665311.1549785,9400,-172.86488342285156
1609665345.602929,9600,-173.01400756835938
1609665381.3818853,9800,-173.05130004882812
1609665415.0686967,10000,-172.9853515625
1609665448.8913145,10200,-173.1187286376953
1609665483.0364337,10400,-173.18162536621094
1609665517.8962162,10600,-173.21412658691406
1609665552.3524973,10800,-173.30767822265625
1609665586.0316558,11000,-173.1964874267578
1609665619.2045417,11200,-173.462890625
1609665653.9606147,11400,-173.6034393310547
1609665687.860887,11600,-173.73114013671875
1609665722.7236066,11800,-173.67013549804688
1609665757.01647,12000,-173.5574951171875
1609665792.2726634,12200,-173.63687133789062
1609665828.433225,12400,-173.8171844482422
1609665863.2806902,12600,-173.86553955078125
1609665897.6897843,12800,-173.8583526611328
1609665931.3702977,13000,-174.00906372070312
1609665967.3614056,13200,-174.07858276367188
1609666004.352336,13400,-174.0242156982422
1609666039.0919876,13600,-173.8307342529297
1609666071.7262228,13800,-173.69921875
1609666106.0751588,14000,-173.75634765625
1609666140.3714192,14200,-173.62355041503906
1609666175.3668146,14400,-173.553955078125
1609666211.4842231,14600,-173.6071014404297
1609666245.4794998,14800,-173.45216369628906
1609666280.9990604,15000,-173.54286193847656
1609666315.1835127,15200,-173.43275451660156
1609666349.1761463,15400,-173.25064086914062
1609666383.929096,15600,-173.18045043945312
1609666419.7821374,15800,-173.0960235595703
1609666454.7062416,16000,-172.98086547851562
1609666490.4709167,16200,-172.92649841308594
1609666524.8192954,16400,-172.85379028320312
1609666560.1050742,16600,-172.98873901367188
1609666593.2292793,16800,-173.21304321289062
1609666628.1451612,17000,-173.21319580078125
1609666662.084775,17200,-173.18540954589844
1609666695.7705638,17400,-173.0834197998047
1609666729.4750183,17600,-173.05258178710938
1609666762.9553332,17800,-173.1654815673828
1609666796.5395014,18000,-173.49542236328125
1609666831.6580923,18200,-173.64559936523438
1609666864.4855096,18400,-173.6597442626953
1609666898.7917485,18600,-173.393310546875
1609666932.1673427,18800,-173.2991485595703
1609666966.1953804,19000,-173.10243225097656
1609666999.6524618,19200,-172.9646453857422
1609667035.4984407,19400,-173.12045288085938
1609667069.237192,19600,-172.967041015625
1609667103.9468534,19800,-172.912353515625
1609667137.3259425,20000,-172.725341796875
1609667171.2572353,20200,-172.6352081298828
1609667206.4639792,20400,-172.9134979248047
1609667240.6282275,20600,-172.6976776123047
1609667275.4103787,20800,-172.51829528808594
1609667311.9593713,21000,-172.72317504882812
1609667345.2765558,21200,-172.46287536621094
1609667378.8147686,21400,-172.19808959960938
1609667413.1090631,21600,-172.05465698242188
1609667448.0109146,21800,-171.90098571777344
1609667482.5752468,22000,-172.02601623535156
1609667518.4046865,22200,-172.16534423828125
1609667552.84819,22400,-172.04299926757812
1609667585.1020982,22600,-171.9725799560547
1609667618.7068365,22800,-171.89599609375
1609667651.8291132,23000,-171.91319274902344
1609667685.692187,23200,-171.88014221191406
1609667720.536195,23400,-171.91387939453125
1609667755.264097,23600,-172.14027404785156
1609667788.1913214,23800,-171.8976593017578
1609667821.5187461,24000,-171.3279571533203
1609667857.9315495,24200,-171.12319946289062
1609667893.5285053,24400,-171.32070922851562
1609667928.0786748,24600,-171.28282165527344
1609667962.430137,24800,-171.17005920410156
1609667998.5353503,25000,-171.0856170654297
1609668033.1866841,25200,-170.74972534179688
1609668066.964494,25400,-170.43804931640625
1609668102.541342,25600,-170.23040771484375
1609668138.6927478,25800,-170.61228942871094
1609668173.7152271,26000,-170.35008239746094
1609668208.0652814,26200,-170.07504272460938
1609668241.803216,26400,-169.76559448242188
1609668276.1438918,26600,-169.6902618408203
1609668310.337846,26800,-169.51405334472656
1609668344.5339603,27000,-169.33306884765625
1609668377.256426,27200,-169.1920928955078
1609668410.0697646,27400,-168.82492065429688
1609668445.7592542,27600,-168.72982788085938
1609668478.6756296,27800,-168.4831085205078
1609668511.9401562,28000,-168.34788513183594
1609668545.8913403,28200,-168.33001708984375
1609668578.618017,28400,-168.00381469726562
1609668613.2626662,28600,-167.89389038085938
1609668649.7426543,28800,-167.7945556640625
1609668683.8225918,29000,-167.90733337402344
1609668719.2791762,29200,-167.79959106445312
1609668752.8124948,29400,-167.66949462890625
1609668786.4009671,29600,-167.5249786376953
1609668820.9895504,29800,-167.2462921142578
1609668854.5515816,30000,-167.10623168945312
1609668887.9318779,30200,-166.86338806152344
