Wall time,Step,Value
1609730717.877753,200,-271.2220458984375
1609730750.1802697,400,-276.8387756347656
1609730784.6052055,600,-289.02862548828125
1609730817.10547,800,-285.10955810546875
1609730850.8269486,1000,-284.7490234375
1609730884.756357,1200,-282.6556701660156
1609730917.3163388,1400,-276.3298645019531
1609730951.8002877,1600,-277.3935241699219
1609730982.7577791,1800,-270.5400695800781
1609731015.946156,2000,-267.87066650390625
1609731049.4111342,2200,-265.3106384277344
1609731084.614445,2400,-262.8257141113281
1609731118.4699087,2600,-261.283935546875
1609731153.680875,2800,-259.5633850097656
1609731187.397939,3000,-255.90867614746094
1609731219.7085726,3200,-252.05453491210938
1609731252.2250805,3400,-248.1712646484375
1609731285.9455462,3600,-246.31942749023438
1609731318.1860554,3800,-243.55223083496094
1609731353.6003294,4000,-242.23443603515625
1609731384.9386086,4200,-239.81858825683594
1609731417.8851848,4400,-239.71011352539062
1609731451.0200787,4600,-239.37901306152344
1609731486.0249827,4800,-239.9687042236328
1609731517.4173102,5000,-237.5354461669922
1609731550.7432942,5200,-236.16868591308594
1609731584.031434,5400,-235.5861358642578
1609731616.2546716,5600,-234.95933532714844
1609731647.5873315,5800,-232.7914276123047
1609731679.7442405,6000,-232.03494262695312
1609731710.9229314,6200,-230.1522216796875
1609731740.8676186,6400,-227.85816955566406
1609731771.9178333,6600,-226.20176696777344
1609731801.3911557,6800,-224.15785217285156
1609731831.0855868,7000,-222.05577087402344
1609731861.1890194,7200,-221.34873962402344
1609731891.3153648,7400,-220.1553497314453
1609731921.7592874,7600,-219.06292724609375
1609731950.4547787,7800,-217.29672241210938
1609731980.1528733,8000,-215.378173828125
1609732008.6603029,8200,-213.41407775878906
1609732036.0520973,8400,-211.1665802001953
1609732063.323343,8600,-208.95738220214844
1609732089.812095,8800,-206.51527404785156
1609732118.6367512,9000,-204.61004638671875
1609732145.8814805,9200,-202.31886291503906
1609732172.182885,9400,-200.1036376953125
1609732196.9706156,9600,-197.6278076171875
1609732222.178119,9800,-195.44085693359375
1609732248.5474362,10000,-193.58059692382812
1609732272.3614125,10200,-191.34938049316406
1609732297.3382413,10400,-189.26950073242188
1609732322.5743587,10600,-187.34559631347656
1609732348.5024817,10800,-185.53091430664062
1609732373.2313085,11000,-183.42713928222656
1609732399.947828,11200,-181.7518310546875
1609732424.4762003,11400,-179.78533935546875
1609732448.7686102,11600,-177.913818359375
1609732472.8492,11800,-176.08164978027344
1609732495.9902544,12000,-174.1896514892578
1609732521.0008361,12200,-172.7344970703125
1609732544.7383978,12400,-171.0868377685547
1609732568.1397216,12600,-169.3553466796875
1609732592.5833738,12800,-167.90679931640625
1609732618.0471168,13000,-166.41107177734375
1609732643.6080227,13200,-164.79515075683594
1609732667.0395532,13400,-163.14450073242188
1609732690.932812,13600,-161.62547302246094
1609732714.3019392,13800,-160.0624237060547
1609732737.179159,14000,-158.5023651123047
1609732760.643811,14200,-156.9993896484375
1609732783.3974462,14400,-155.4233856201172
1609732807.6239088,14600,-154.0120086669922
1609732832.2738862,14800,-152.6548614501953
1609732857.0230272,15000,-151.36305236816406
1609732878.8903265,15200,-150.0005645751953
1609732899.5233886,15400,-148.76303100585938
1609732921.0480165,15600,-147.6415252685547
1609732943.3223991,15800,-146.58375549316406
1609732962.8847969,16000,-145.29457092285156
1609732982.8288817,16200,-144.0599822998047
1609733004.7027264,16400,-143.08212280273438
1609733024.8453133,16600,-141.91627502441406
1609733045.9010227,16800,-140.9091033935547
1609733065.7753787,17000,-139.81114196777344
