Wall time,Step,Value
1592977934.6769412,1,-193.34762573242188
1592977953.0810997,2,-213.6389617919922
1592977974.4028661,3,-212.53468322753906
1592977993.376023,4,-166.79713439941406
1592978012.4037743,5,-170.37799072265625
1592978031.0884843,6,-185.52296447753906
1592978048.8025022,7,-149.57974243164062
1592978066.1753306,8,-157.7428741455078
1592978083.623366,9,-154.74424743652344
1592978101.2240818,10,-170.2236785888672
1592978119.0842204,11,-141.41366577148438
1592978136.4896088,12,-170.77255249023438
1592978153.2773273,13,-145.07354736328125
1592978171.2735245,14,-129.74362182617188
1592978187.762562,15,-119.00480651855469
1592978204.5367358,16,-139.29183959960938
1592978220.6236746,17,-119.04315185546875
1592978234.5580623,18,-83.44807434082031
1592978252.3700588,19,-165.4693145751953
1592978268.6004646,20,-129.763427734375
1592978285.2612329,21,-115.20550537109375
1592978300.4027028,22,-109.82575225830078
1592978316.2278216,23,-105.8667221069336
1592978332.4720685,24,-111.1613540649414
1592978348.388756,25,-109.95970916748047
1592978407.4627175,26,-96.6775894165039
1592978421.647042,27,-89.20350646972656
1592978437.2666676,28,-106.06651306152344
1592978451.2731652,29,-68.69208526611328
1592978465.665958,30,-95.99503326416016
1592978481.264413,31,-100.68215942382812
1592978496.4654543,32,-105.58782196044922
1592978513.7372823,33,-146.57920837402344
1592978529.9421434,34,-87.55280303955078
1592978547.3276422,35,-115.98562622070312
1592978563.7227192,36,-130.74609375
1592978579.4961686,37,-100.24801635742188
1592978594.9425356,38,-103.52417755126953
1592978611.4557815,39,-124.68618774414062
1592978627.3964732,40,-114.65164184570312
1592978642.614989,41,-98.9124984741211
1592978656.9042401,42,-72.68075561523438
1592978670.7201152,43,-74.24720001220703
1592978684.5047398,44,-64.26502227783203
1592978699.42026,45,-93.04102325439453
1592978713.3761282,46,-83.4671630859375
1592978728.53174,47,-95.22633361816406
1592978742.6749506,48,-88.35382080078125
1592978756.9409394,49,-74.59617614746094
1592978771.8057494,50,-81.99282836914062
1592978826.74191,51,-77.9471206665039
1592978840.3537643,52,-74.91915893554688
1592978854.1720693,53,-81.21760559082031
1592978869.151569,54,-98.3072280883789
1592978884.552856,55,-104.68305206298828
1592978899.9744987,56,-110.4917221069336
1592978914.8420396,57,-91.11881256103516
1592978928.7721295,58,-74.16798400878906
1592978942.7702312,59,-68.82866668701172
1592978955.7024038,60,-53.503726959228516
